Datos provenientes de SR865 
F,X,Y,R,T,
+7.800000e+04,+7.859700e-01,-4.164172e-01,+8.894673e-01,-2.791523e+01,
+7.900000e+04,+7.815312e-01,-4.193039e-01,+8.869085e-01,-2.821426e+01,
+8.000000e+04,+7.770790e-01,-4.221243e-01,+8.843306e-01,-2.851166e+01,
+8.100000e+04,+7.726894e-01,-4.249173e-01,+8.818184e-01,-2.880727e+01,
+8.200000e+04,+7.683074e-01,-4.276526e-01,+8.793083e-01,-2.910103e+01,
+8.300000e+04,+7.638797e-01,-4.303014e-01,+8.767391e-01,-2.939301e+01,
+8.400000e+04,+7.592719e-01,-4.327885e-01,+8.739564e-01,-2.968334e+01,
+8.500000e+04,+7.549300e-01,-4.353645e-01,+8.714709e-01,-2.997184e+01,
+8.600000e+04,+7.504813e-01,-4.378182e-01,+8.688538e-01,-3.025857e+01,
+8.700000e+04,+7.460349e-01,-4.402106e-01,+8.662295e-01,-3.054345e+01,
+8.800000e+04,+7.416643e-01,-4.425858e-01,+8.636829e-01,-3.082651e+01,
+8.900000e+04,+7.372272e-01,-4.448615e-01,+8.610492e-01,-3.110784e+01,
+9.000000e+04,+7.329092e-01,-4.471503e-01,+8.585448e-01,-3.138750e+01,
+9.100000e+04,+7.284822e-01,-4.493153e-01,+8.559034e-01,-3.166557e+01,
+9.200000e+04,+7.240899e-01,-4.514388e-01,+8.532895e-01,-3.194175e+01,
+9.300000e+04,+7.197002e-01,-4.535034e-01,+8.506666e-01,-3.221619e+01,
+9.400000e+04,+7.153807e-01,-4.555565e-01,+8.481163e-01,-3.248910e+01,
+9.500000e+04,+7.110524e-01,-4.575445e-01,+8.455427e-01,-3.276027e+01,
+9.600000e+04,+7.066259e-01,-4.594082e-01,+8.428382e-01,-3.302964e+01,
+9.700000e+04,+7.023578e-01,-4.613141e-01,+8.403078e-01,-3.329723e+01,
+9.800000e+04,+6.980592e-01,-4.631410e-01,+8.377269e-01,-3.356306e+01,
+9.900000e+04,+6.937162e-01,-4.648809e-01,+8.350787e-01,-3.382727e+01,
+1.000000e+05,+6.893726e-01,-4.665610e-01,+8.324144e-01,-3.408978e+01,
+1.010000e+05,+6.851286e-01,-4.682455e-01,+8.298523e-01,-3.435033e+01,
+1.020000e+05,+6.808136e-01,-4.698253e-01,+8.271898e-01,-3.460931e+01,
+1.030000e+05,+6.765775e-01,-4.714098e-01,+8.246117e-01,-3.486710e+01,
+1.040000e+05,+6.723279e-01,-4.729271e-01,+8.220006e-01,-3.512321e+01,
+1.050000e+05,+6.680242e-01,-4.743475e-01,+8.193057e-01,-3.537762e+01,
+1.060000e+05,+6.638807e-01,-4.758278e-01,+8.167923e-01,-3.563056e+01,
+1.070000e+05,+6.596580e-01,-4.771933e-01,+8.141634e-01,-3.588179e+01,
+1.080000e+05,+6.554123e-01,-4.784839e-01,+8.114876e-01,-3.613132e+01,
+1.090000e+05,+6.511887e-01,-4.797302e-01,+8.088188e-01,-3.637904e+01,
+1.100000e+05,+6.469123e-01,-4.808863e-01,+8.060690e-01,-3.662550e+01,
+1.110000e+05,+6.427584e-01,-4.820720e-01,+8.034499e-01,-3.687008e+01,
+1.120000e+05,+6.387418e-01,-4.833058e-01,+8.009841e-01,-3.711308e+01,
+1.130000e+05,+6.345722e-01,-4.843709e-01,+7.983088e-01,-3.735460e+01,
+1.140000e+05,+6.304430e-01,-4.854116e-01,+7.956650e-01,-3.759459e+01,
+1.150000e+05,+6.263618e-01,-4.864292e-01,+7.930589e-01,-3.783271e+01,
+1.160000e+05,+6.222943e-01,-4.874056e-01,+7.904521e-01,-3.806945e+01,
+1.170000e+05,+6.183227e-01,-4.884020e-01,+7.879463e-01,-3.830458e+01,
+1.180000e+05,+6.143259e-01,-4.893242e-01,+7.853882e-01,-3.853809e+01,
+1.190000e+05,+6.103050e-01,-4.901726e-01,+7.827780e-01,-3.877004e+01,
+1.200000e+05,+6.063979e-01,-4.910597e-01,+7.802935e-01,-3.900047e+01,
