Datos provenientes de SR865 
F,X,Y,R,T,
+7.800000e+04,+7.847717e-01,-4.158750e-01,+8.881546e-01,-2.792051e+01,
+7.900000e+04,+7.803586e-01,-4.187615e-01,+8.856188e-01,-2.821920e+01,
+8.000000e+04,+7.758895e-01,-4.215540e-01,+8.830131e-01,-2.851599e+01,
+8.100000e+04,+7.715349e-01,-4.243474e-01,+8.805321e-01,-2.881097e+01,
+8.200000e+04,+7.670832e-01,-4.270264e-01,+8.779340e-01,-2.910418e+01,
+8.300000e+04,+7.626937e-01,-4.296762e-01,+8.753989e-01,-2.939545e+01,
+8.400000e+04,+7.580791e-01,-4.321411e-01,+8.725994e-01,-2.968520e+01,
+8.500000e+04,+7.538064e-01,-4.347443e-01,+8.701878e-01,-2.997342e+01,
+8.600000e+04,+7.493370e-01,-4.371773e-01,+8.675424e-01,-3.026009e+01,
+8.700000e+04,+7.448714e-01,-4.395482e-01,+8.648908e-01,-3.054483e+01,
+8.800000e+04,+7.405043e-01,-4.419087e-01,+8.623398e-01,-3.082737e+01,
+8.900000e+04,+7.360677e-01,-4.441675e-01,+8.596979e-01,-3.110816e+01,
+9.000000e+04,+7.317334e-01,-4.464342e-01,+8.571683e-01,-3.138757e+01,
+9.100000e+04,+7.273564e-01,-4.486209e-01,+8.545807e-01,-3.166556e+01,
+9.200000e+04,+7.230576e-01,-4.507830e-01,+8.520667e-01,-3.194106e+01,
+9.300000e+04,+7.186957e-01,-4.528460e-01,+8.494664e-01,-3.221479e+01,
+9.400000e+04,+7.142918e-01,-4.548267e-01,+8.468058e-01,-3.248702e+01,
+9.500000e+04,+7.099041e-01,-4.567589e-01,+8.441519e-01,-3.275760e+01,
+9.600000e+04,+7.056570e-01,-4.587241e-01,+8.416530e-01,-3.302655e+01,
+9.700000e+04,+7.013867e-01,-4.606184e-01,+8.391142e-01,-3.329392e+01,
+9.800000e+04,+6.970131e-01,-4.623857e-01,+8.364375e-01,-3.355956e+01,
+9.900000e+04,+6.927371e-01,-4.641615e-01,+8.338647e-01,-3.382366e+01,
+1.000000e+05,+6.883833e-01,-4.658225e-01,+8.311812e-01,-3.408584e+01,
+1.010000e+05,+6.841823e-01,-4.675190e-01,+8.286613e-01,-3.434578e+01,
+1.020000e+05,+6.799789e-01,-4.691657e-01,+8.261282e-01,-3.460455e+01,
+1.030000e+05,+6.756455e-01,-4.706781e-01,+8.234286e-01,-3.486240e+01,
+1.040000e+05,+6.713839e-01,-4.721809e-01,+8.207991e-01,-3.511853e+01,
+1.050000e+05,+6.671479e-01,-4.736218e-01,+8.181711e-01,-3.537172e+01,
+1.060000e+05,+6.629364e-01,-4.750391e-01,+8.155654e-01,-3.562417e+01,
+1.070000e+05,+6.587515e-01,-4.764230e-01,+8.129774e-01,-3.587524e+01,
+1.080000e+05,+6.545032e-01,-4.777013e-01,+8.102919e-01,-3.612453e+01,
+1.090000e+05,+6.503318e-01,-4.789814e-01,+8.076847e-01,-3.637233e+01,
+1.100000e+05,+6.460745e-01,-4.801363e-01,+8.049491e-01,-3.661823e+01,
+1.110000e+05,+6.418552e-01,-4.812673e-01,+8.022445e-01,-3.686280e+01,
+1.120000e+05,+6.378063e-01,-4.824722e-01,+7.997351e-01,-3.710588e+01,
+1.130000e+05,+6.336278e-01,-4.835171e-01,+7.970401e-01,-3.734701e+01,
+1.140000e+05,+6.295342e-01,-4.845715e-01,+7.944325e-01,-3.758656e+01,
+1.150000e+05,+6.255046e-01,-4.856194e-01,+7.918851e-01,-3.782448e+01,
+1.160000e+05,+6.214181e-01,-4.865705e-01,+7.892473e-01,-3.806094e+01,
+1.170000e+05,+6.174384e-01,-4.875510e-01,+7.867250e-01,-3.829585e+01,
+1.180000e+05,+6.134368e-01,-4.884555e-01,+7.841515e-01,-3.852892e+01,
+1.190000e+05,+6.094750e-01,-4.893407e-01,+7.816098e-01,-3.876059e+01,
+1.200000e+05,+6.055343e-01,-4.901910e-01,+7.790757e-01,-3.899080e+01,
+1.210000e+05,+6.015617e-01,-4.909658e-01,+7.764817e-01,-3.921968e+01,
+1.220000e+05,+5.976027e-01,-4.916957e-01,+7.738822e-01,-3.944687e+01,
