Datos provenientes de SR865 
F,X,Y,R,T,
+6.900000e+05,+4.179991e-01,-5.017627e-01,+6.530613e-01,-5.020362e+01,
+7.000000e+05,+4.109599e-01,-5.006341e-01,+6.477055e-01,-5.061815e+01,
+7.100000e+05,+4.041114e-01,-4.994927e-01,+6.424944e-01,-5.102563e+01,
+7.200000e+05,+3.973089e-01,-4.982576e-01,+6.372715e-01,-5.143126e+01,
+7.300000e+05,+3.907942e-01,-4.969648e-01,+6.322136e-01,-5.181984e+01,
+7.400000e+05,+3.841840e-01,-4.955448e-01,+6.270263e-01,-5.221444e+01,
+7.500000e+05,+3.778520e-01,-4.941459e-01,+6.220549e-01,-5.259642e+01,
+7.600000e+05,+3.716565e-01,-4.926794e-01,+6.171398e-01,-5.297064e+01,
+7.700000e+05,+3.655470e-01,-4.911472e-01,+6.122501e-01,-5.334073e+01,
+7.800000e+05,+3.595464e-01,-4.895923e-01,+6.074325e-01,-5.370721e+01,
+7.900000e+05,+3.536524e-01,-4.879846e-01,+6.026599e-01,-5.406839e+01,
+8.000000e+05,+3.477574e-01,-4.862971e-01,+5.978462e-01,-5.443094e+01,
+8.100000e+05,+3.420546e-01,-4.845752e-01,+5.931395e-01,-5.478228e+01,
+8.200000e+05,+3.365896e-01,-4.828662e-01,+5.886020e-01,-5.512096e+01,
+8.300000e+05,+3.310667e-01,-4.810965e-01,+5.840026e-01,-5.546618e+01,
+8.400000e+05,+3.256775e-01,-4.793102e-01,+5.794861e-01,-5.580501e+01,
+8.500000e+05,+3.203710e-01,-4.774572e-01,+5.749809e-01,-5.613861e+01,
+8.600000e+05,+3.151675e-01,-4.755634e-01,+5.705183e-01,-5.646658e+01,
+8.700000e+05,+3.100250e-01,-4.736243e-01,+5.660702e-01,-5.679204e+01,
+8.800000e+05,+3.049817e-01,-4.716433e-01,+5.616594e-01,-5.711182e+01,
+8.900000e+05,+3.001565e-01,-4.697122e-01,+5.574258e-01,-5.742052e+01,
+9.000000e+05,+2.953779e-01,-4.677105e-01,+5.531738e-01,-5.772594e+01,
