Datos provenientes de SR865 
F,X,Y,R,T,
+6.900000e+05,+9.977418e-01,-1.313840e-01,+1.006355e+00,-7.501626e+00,
+7.000000e+05,+9.973613e-01,-1.332226e-01,+1.006220e+00,-7.608253e+00,
+7.100000e+05,+9.971011e-01,-1.350671e-01,+1.006208e+00,-7.714319e+00,
+7.200000e+05,+9.968057e-01,-1.369256e-01,+1.006166e+00,-7.821451e+00,
+7.300000e+05,+9.965167e-01,-1.387907e-01,+1.006135e+00,-7.928908e+00,
+7.400000e+05,+9.961399e-01,-1.406636e-01,+1.006022e+00,-8.037520e+00,
+7.500000e+05,+9.957439e-01,-1.425475e-01,+1.005896e+00,-8.146928e+00,
+7.600000e+05,+9.953617e-01,-1.444072e-01,+1.005782e+00,-8.254881e+00,
+7.700000e+05,+9.949335e-01,-1.462723e-01,+1.005628e+00,-8.363549e+00,
+7.800000e+05,+9.945673e-01,-1.481361e-01,+1.005539e+00,-8.471654e+00,
+7.900000e+05,+9.942693e-01,-1.499680e-01,+1.005516e+00,-8.577404e+00,
+8.000000e+05,+9.939205e-01,-1.518223e-01,+1.005449e+00,-8.684854e+00,
+8.100000e+05,+9.935530e-01,-1.537111e-01,+1.005373e+00,-8.794421e+00,
+8.200000e+05,+9.932180e-01,-1.556063e-01,+1.005333e+00,-8.904085e+00,
+8.300000e+05,+9.928396e-01,-1.575087e-01,+1.005256e+00,-9.014541e+00,
+8.400000e+05,+9.924232e-01,-1.593745e-01,+1.005139e+00,-9.123303e+00,
+8.500000e+05,+9.919171e-01,-1.613035e-01,+1.004947e+00,-9.236471e+00,
+8.600000e+05,+9.914379e-01,-1.631683e-01,+1.004775e+00,-9.345816e+00,
+8.700000e+05,+9.909101e-01,-1.651000e-01,+1.004570e+00,-9.459417e+00,
+8.800000e+05,+9.903093e-01,-1.669744e-01,+1.004287e+00,-9.570532e+00,
+8.900000e+05,+9.897772e-01,-1.688469e-01,+1.004076e+00,-9.680941e+00,
+9.000000e+05,+9.891117e-01,-1.706802e-01,+1.003730e+00,-9.790492e+00,
+9.100000e+05,+9.884931e-01,-1.725132e-01,+1.003434e+00,-9.899633e+00,
+9.200000e+05,+9.880269e-01,-1.744263e-01,+1.003305e+00,-1.001184e+01,
+9.300000e+05,+9.875392e-01,-1.763290e-01,+1.003158e+00,-1.012370e+01,
+9.400000e+05,+9.870040e-01,-1.782093e-01,+1.002963e+00,-1.023482e+01,
