Barrido en f -> f_inicial:5000, f_final:500000, step: 10
Parametros -> M:128,	N:128, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

5408.653846,121456598.418640,-3353388.790466,7416.173757,-1.581568
5420.918367,121472484.836243,-3358947.267090,7417.152417,-1.583981
5430.640244,121460916.069763,-3366015.019470,7416.458502,-1.587464
5440.848214,121463383.838623,-3375430.602600,7416.625012,-1.591870
5450.581395,121454305.637146,-3393005.440369,7416.100998,-1.600273
5460.349462,121450379.889099,-3394156.351624,7415.863438,-1.600867
5468.750000,121466696.193176,-3404360.729248,7416.876371,-1.605462
5480.410448,121455251.882507,-3410442.467773,7416.188529,-1.608480
5489.864865,121464646.720764,-3427197.723450,7416.790510,-1.616254
5501.760563,121453676.729736,-3440122.352356,7416.143495,-1.622492
5508.814103,121465435.067200,-3452469.200378,7416.882274,-1.628155
5519.701087,121453561.285339,-3458044.991333,7416.167505,-1.630942
5530.196629,121453977.916443,-3470560.404053,7416.214705,-1.636836
5539.772727,121458837.179688,-3470352.203247,7416.510816,-1.636672
5550.986842,121450779.110352,-3486891.484619,7416.048079,-1.644577
5558.894231,121452888.017517,-3493751.684692,7416.188775,-1.647782
5567.528736,121454391.747070,-3559472.974670,7416.396950,-1.678741
5580.357143,121458470.924805,-3516998.430847,7416.570332,-1.658664
5593.039773,121447142.016357,-3528286.705322,7415.899116,-1.664140
5598.958333,121451509.881165,-3541805.802734,7416.189612,-1.670453
5608.974359,121443012.620117,-3555313.510010,7415.695266,-1.676937
5619.517544,121450398.460876,-3549791.406494,7416.136028,-1.674232
5629.595588,121448654.841736,-3569752.348694,7416.065344,-1.683665
5642.361111,121453688.286865,-3576505.614258,7416.384559,-1.686779
5649.038462,121437345.564087,-3583267.553223,7415.399642,-1.690193
5661.231884,121444756.777710,-3597654.226379,7415.877753,-1.696872
5670.362903,121448177.267517,-3608767.411255,7416.106554,-1.702063
5681.818182,121439903.018921,-3619641.521423,7415.621486,-1.707305
5690.586420,121442481.005920,-3626242.086243,7415.790782,-1.710380
5701.013514,121435536.756104,-3643645.316223,7415.398897,-1.718682
5709.134615,121435493.542786,-3639827.777649,7415.389276,-1.716883
5719.866071,121439804.389771,-3661992.838684,7415.692933,-1.727270
5729.166667,121425535.238586,-3669819.400574,7414.836798,-1.731163
5739.795918,121432227.550171,-3670457.616272,7415.246267,-1.731368
5750.868056,121440867.030090,-3690900.301025,7415.811155,-1.740882
5761.718750,121428216.704102,-3690717.772156,7415.039035,-1.740977
5770.596591,121426920.261536,-3711647.879944,7414.998862,-1.750862
