----- Barrido de N desde 1 a 32-----
frecuencia: 2000000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
23,-1946.7578125,-3298.90747070313,0.233801713357945,-120.545788913511 
24,-2752.21411132813,-2759.65869140625,0.237890938494335,-134.9226138239 
25,-2535.59204101563,-2101.18920898438,0.200998370333724,-140.352206500561 
26,-1620.52856445313,-3520.06225585938,0.236528892338035,-114.719891303936 
27,-2743.2919921875,-2134.44140625,0.212155152228175,-142.114999222984 
28,-2977.25952148438,-3248.53271484375,0.26895821674021,-132.505059058847 
29,-2864.93774414063,-3777.91479492188,0.289398569170738,-127.174438017186 
30,-3529.76123046875,-3339.37255859375,0.296583538116088,-136.587634724685 
31,-2940.0087890625,-4118.953125,0.30888245557397,-125.518324923375 
---------------------------------------------------------- 

