----- Barrido de N desde 1 a 2048-----
frecuencia: 2000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
40,-1701.999609375,-2446.8125,0.181924048391402,-124.822424675724 
41,-3033.71474847561,-2564.6347179878,0.242469712678857,-139.789567693008 
42,-2311.13802083333,-3506.38244047619,0.256326970602393,-123.389803457803 
43,-1879.91224563953,-1215.74037063953,0.136647895819324,-147.109226989805 
44,-1678.39435369318,-3274.64470880682,0.224598859855356,-117.137064904611 
45,-2428.50260416667,-3057.20243055556,0.238311156515818,-128.462031747144 
46,-2085.28328804348,-3359.90913722826,0.241365686394453,-121.825260777775 
47,-2031.52543218085,-2420.60372340426,0.192884879455808,-130.005524229401 
48,-3856.59912109375,-1725.43831380208,0.257880459939707,-155.896309067981 
49,-2959.26610331633,-2720.31521045918,0.245345817776246,-137.409122724679 
50,-2471.78515625,-3340.84828125,0.253659959938287,-126.496536352402 
51,-2062.73728553922,-3353.22181372549,0.24029508976619,-121.597786891615 
52,-2215.88656850962,-3276.28756009615,0.241418296486132,-124.072088690741 
53,-2456.57900943396,-2604.63502358491,0.21853387301692,-133.32440078986 
54,-1221.54542824074,-1918.72916666667,0.138833323238118,-122.482582236539 
55,-1864.90923295455,-1977.51889204545,0.165909210122793,-133.32131877876 
56,-1759.48409598214,-2490.26381138393,0.186109849410177,-125.242935535194 
57,-2549.99917763158,-2217.42297149123,0.206260519236998,-138.990498787117 
58,-2365.77262931034,-2656.16540948276,0.217107353534444,-131.690565843286 
59,-2024.0202595339,-3583.76641949153,0.251217868931925,-119.456658057407 
60,-2119.4890625,-2513.72955729167,0.200690889423818,-130.136418441354 
61,-2258.32927766393,-3499.13114754098,0.25419533158641,-122.838082901591 
62,-2454.27658770161,-2515.53125,0.214511657511291,-134.293844745181 
63,-2368.0234375,-3272.859375,0.24657099917175,-125.886998622457 
64,-3187.31848144531,-2728.05773925781,0.256074105333567,-139.439450847012 
65,-2564.02307692308,-2784.33485576923,0.231029228253883,-132.641182036015 
66,-2402.47668087121,-2806.19507575758,0.225478918669696,-130.567928652173 
67,-2867.7624766791,-2056.54174440298,0.215396047238642,-144.354778813039 
68,-2207.57146139706,-3104.27768841912,0.232501468167222,-125.418098506507 
