Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,121770562.3125,-33273.09375,7432.51239712754,-0.0156557361612576 
110000,121757593.65625,25293.53125,7431.72071190212,0.0119024409504347 
120000,121616596.4375,-40437.21875,7423.1149119625,-0.0190507048553385 
130000,121728601.84375,-41238.84375,7429.9514041038,-0.0194104883543655 
140000,121763029.15625,13582.84375,7432.0523645035,0.00639142786464289 
150000,121674031.84375,-261011.15625,7426.63727529091,-0.122908844993183 
160000,121767389.0625,84154.375,7432.32020889084,0.0395975456526017 
170000,121802217.5,328200.3125,7434.47124685064,0.154385097555431 
180000,121708762.40625,-52410.8125,7428.74072639836,-0.024672982553713 
190000,121614666.375,-538155.96875,7423.06937246284,-0.253537384858374 
200000,121620927.25,-442360.125,7423.42794423358,-0.20839552036472 
210000,121671912.3125,112528.40625,7426.49399386584,0.0529900516286695 
220000,121876783.1875,751373.3125,7439.13689277652,0.353225389750283 
230000,121833599.3125,791207.25,7436.51651965868,0.372082899346042 
240000,121755351.09375,163483,7431.5903713746,0.0769319804743356 
250000,121496642.21875,-570717.34375,7415.87466981239,-0.269138751377967 
260000,121690107.5,-1084346.84375,7427.89627132799,-0.510533310186317 
270000,121531690.78125,-1209991.6875,7418.29975774364,-0.570428387227182 
280000,121550628.53125,-957753.5,7419.3183241437,-0.451450547064909 
290000,121579040.5,-584306.4375,7420.90789968076,-0.275360250604361 
300000,121730428.3125,-55073.21875,7430.06322034963,-0.0259217257922148 
310000,121688081.3125,857207.3125,7427.66200675347,0.403601965628821 
320000,121841458.84375,1319010.875,7437.27519749628,0.620238832679527 
330000,121986314.1875,1692467.53125,7446.39756302466,0.794884456686361 
340000,122094432.625,1803366.9375,7453.09305100273,0.846212225683625 
350000,121741618.53125,1203504.15625,7431.10856297205,0.56639186707196 
360000,121734370.03125,772918.96875,7430.45281685487,0.363778937172428 
370000,121377170.84375,107320.90625,7408.50357310495,0.0506605429708516 
380000,121293530.4375,-677908.53125,7403.5111444608,-0.320222300214274 
390000,121478858.5,-901868.78125,7414.91172380303,-0.425360644243975 
400000,121315380.15625,-1242768.0625,7405.11768031481,-0.586923720257229 
410000,121572763.53125,-1251893.6875,7420.8324862521,-0.589981567090173 
420000,121594256.21875,-1395669.34375,7422.23979988452,-0.65761701261761 
430000,121583984.75,-1484255.6875,7421.67693443403,-0.699412530931741 
440000,121645275.09375,-1547910.75,7425.4660552272,-0.729037495271437 
450000,121551272.65625,-1931290.75,7420.0637550048,-0.910278406452647 
460000,121452326.53125,-2018788.78125,7414.11197816552,-0.952286623054534 
470000,121419475.65625,-2209713.5,7412.3100243431,-1.04261101422834 
480000,121295512.5,-2759773.1875,7405.43255555184,-1.30339594400534 
490000,121159426.65625,-3060891.09375,7397.56978950851,-1.44717460194614 
500000,121106119.09375,-3025062.65625,7394.262162194,-1.4308714579039 
510000,120947499.375,-3434586.96875,7385.25077732531,-1.62661044885989 
520000,120845702.90625,-3485332.21875,7379.12857443056,-1.65201972050322 
530000,120853958.53125,-3317550.8125,7379.34414784136,-1.57242624296443 
540000,120719077.0625,-3369421.90625,7371.20214352553,-1.59878248459426 
550000,120693434.6875,-3204167.46875,7369.36303541066,-1.52073028241134 
560000,120850228.9375,-2604827.4375,7378.05097420419,-1.23477227949056 
570000,120623772.59375,-2280057.96875,7363.8306684321,-1.08288889066511 
580000,120847183.6875,-1815141.375,7376.98384079714,-0.860525805726867 
590000,121024149.78125,-761447.1875,7387.09953030464,-0.36048288365858 
600000,120881476.125,141134.375,7378.24997804066,0.0668952813664338 
610000,121481153.78125,715857.03125,7414.97622261076,0.337625307394579 
620000,121828719.6875,2135878.90625,7437.20457587543,1.00439626551044 
630000,121750797.40625,2199327.65625,7432.5181008536,1.03488840570769 
640000,122555980.03125,3498254.78125,7483.49847095241,1.635014669326 
650000,122427461.625,3969747.125,7476.53461328791,1.85718211964471 
660000,123085448.25,4392565.25,7517.55133602366,2.04385403031745 
670000,123255788.1875,5052372.9375,7529.48365925923,2.34729483940911 
680000,122855794.3125,4922389.53125,7504.76796687659,2.29440845733698 
690000,123002846.96875,5112772.9375,7514.21006691663,2.38020324667891 
700000,122508536.65625,4862213.375,7483.44287412875,2.27280625470585 
710000,122496169.4375,4834511.65625,7482.6217396361,2.26009867186016 
720000,121845614.59375,4335429.84375,7441.79939521341,2.037800741732 
730000,121356374.84375,3590039.28125,7410.47179244528,1.69446498166432 
740000,121336965.1875,3625954.65625,7409.35275908225,1.71168027391529 
750000,121006101.84375,2906854.34375,7387.9825181013,1.37611621854172 
760000,120787970.0625,2156107.84375,7373.71209890085,1.02264125401539 
770000,120791003.71875,2223943.3125,7373.97229211478,1.05478195104873 
780000,120652206.15625,1563551.5625,7364.86934357291,0.742463764082961 
790000,120691710.25,1166189.75,7367.00609162856,0.553606136555174 
800000,120736476.65625,1151883.40625,7369.72998986611,0.546612400911982 
810000,120741875.90625,661766.5,7369.83485883224,0.314025664509537 
820000,120766720.625,664244.09375,7371.35211383731,0.315136480991284 
830000,120856918.1875,250421.53125,7376.76184149545,0.118719528191439 
840000,120907727.1875,-205282.40625,7379.85787262065,-0.0972791769245069 
850000,120910828.8125,-195358.40625,7380.04618274065,-0.0925740278210574 
860000,120994210.5625,-690824.84375,7385.24629673918,-0.327130675488751 
870000,120999475.875,-1203770.78125,7385.81277632615,-0.569991807493769 
880000,120982477.03125,-1292831.8125,7384.83135497481,-0.612245582332171 
890000,120977423,-1813190.65625,7384.93057928403,-0.858675871409063 
900000,120912429.5625,-2551154.25,7381.77680051106,-1.20871516045817 
910000,120897714.6875,-2448562.875,7380.74939631659,-1.16026296665208 
920000,120777446.53125,-3098366.28125,7374.32062690499,-1.46951594770125 
930000,120607388.71875,-3821205.375,7365.20933766383,-1.81469584175884 
940000,120539315.90625,-3843523.34375,7361.09974904141,-1.82631763439151 
950000,120439251.125,-4910354.21875,7357.36003115674,-2.33467777750179 
960000,120316005.4375,-4897182.1875,7349.81099146118,-2.3308043933252 
970000,120243824.125,-5602531,7347.28678079355,-2.66765795529472 
980000,120184144.6875,-6516147.15625,7346.45596977554,-3.1034255416317 
990000,120132748.03125,-6516119.59375,7343.32338269839,-3.10473758287381 
1000000,119964991.875,-7372517.84375,7336.11984917636,-3.51672235790119 
1010000,119671028.4375,-8149004.5,7321.27817477584,-3.8955451881468 
1020000,119863833.34375,-8483105.4375,7334.4306878818,-4.04823584559747 
1030000,119555015.125,-9178920.34375,7318.75706872063,-4.39031103160549 
1040000,119834122.46875,-9061142.25,7335.19754558007,-4.32413688878431 
1050000,119467962.46875,-10827495.25,7321.85504549612,-5.17862298769818 
1060000,119477357.09375,-10771883.1875,7322.12054776216,-5.1517651789641 
1070000,119339378.375,-10716257.75,7313.4283603859,-5.13119798887234 
1080000,119234521.53125,-12389034.75,7316.90014296421,-5.93201777959079 
1090000,119233303.4375,-12062914.875,7314.7957767945,-5.77699655699109 
1100000,119305801.71875,-12089914.75,7319.3643607835,-5.78634478006467 
1110000,119172617.78125,-13357764.03125,7319.49220038857,-6.39544807501983 
1120000,119188204.53125,-13298158.3125,7320.03334049767,-6.36631903791746 
1130000,119155419.28125,-13366054.28125,7318.50537894996,-6.40030037623508 
1140000,119236731.25,-13316443.6875,7323.10079974581,-6.37242776358625 
1150000,119103043.3125,-14458106.75,7323.0616335138,-6.92136031597338 
1160000,119137808.25,-14471652.375,7325.26777300407,-6.92577994607706 
1170000,119082754.9375,-14429444.0625,7321.62166304419,-6.90893718829458 
1180000,119007928.53125,-15399476.21875,7324.45013812025,-7.37303249416301 
1190000,119017329.1875,-15387205.375,7324.92311220595,-7.36664645859677 
1200000,119041685.28125,-15368606.15625,7326.25202456256,-7.35635075594153 
1210000,118891992.5,-16205468.84375,7323.91405636084,-7.76181841140545 
1220000,118869824.65625,-16198242.9375,7322.51383247615,-7.75982885607063 
1230000,118884970.5,-16212292.09375,7323.54564295481,-7.76549968340578 
1240000,118918606.28125,-16961102.40625,7331.89362554189,-8.11722588798415 
1250000,118809610.3125,-16932036.84375,7325.05703727369,-8.11083591384451 
1260000,118779211.65625,-16920014.40625,7323.11663601861,-8.10720018371082 
