Datos provenientes de SR865 
F,X,Y,R,T,
+6.900000e+03,+5.576100e-01,-4.959821e-01,+7.462755e-01,-4.165240e+01,
+7.000000e+03,+5.506375e-01,-4.967471e-01,+7.415925e-01,-4.205459e+01,
+7.100000e+03,+5.436256e-01,-4.972934e-01,+7.367697e-01,-4.245140e+01,
+7.200000e+03,+5.367998e-01,-4.978338e-01,+7.321150e-01,-4.284316e+01,
+7.300000e+03,+5.299993e-01,-4.982213e-01,+7.274089e-01,-4.322979e+01,
+7.400000e+03,+5.233276e-01,-4.985558e-01,+7.227930e-01,-4.361135e+01,
+7.500000e+03,+5.166975e-01,-4.987587e-01,+7.181480e-01,-4.398793e+01,
+7.600000e+03,+5.101648e-01,-4.988874e-01,+7.135522e-01,-4.435967e+01,
+7.700000e+03,+5.037736e-01,-4.989887e-01,+7.090681e-01,-4.472660e+01,
+7.800000e+03,+4.973445e-01,-4.988876e-01,+7.044433e-01,-4.508875e+01,
+7.900000e+03,+4.910404e-01,-4.987491e-01,+6.999081e-01,-4.544622e+01,
+8.000000e+03,+4.848416e-01,-4.985562e-01,+6.954348e-01,-4.579900e+01,
+8.100000e+03,+4.787523e-01,-4.983190e-01,+6.910322e-01,-4.614724e+01,
+8.200000e+03,+4.727212e-01,-4.979863e-01,+6.866263e-01,-4.649093e+01,
+8.300000e+03,+4.667595e-01,-4.975730e-01,+6.822340e-01,-4.683016e+01,
+8.400000e+03,+4.609078e-01,-4.971251e-01,+6.779155e-01,-4.716497e+01,
+8.500000e+03,+4.551511e-01,-4.966323e-01,+6.736514e-01,-4.749552e+01,
+8.600000e+03,+4.494386e-01,-4.960402e-01,+6.693660e-01,-4.782176e+01,
+8.700000e+03,+4.437604e-01,-4.953398e-01,+6.650450e-01,-4.814377e+01,
+8.800000e+03,+4.382690e-01,-4.947055e-01,+6.609184e-01,-4.846165e+01,
+8.900000e+03,+4.327612e-01,-4.939119e-01,+6.566820e-01,-4.877544e+01,
+9.000000e+03,+4.273761e-01,-4.931197e-01,+6.525469e-01,-4.908524e+01,
+9.100000e+03,+4.220491e-01,-4.922583e-01,+6.484163e-01,-4.939109e+01,
+9.200000e+03,+4.168184e-01,-4.913739e-01,+6.443492e-01,-4.969301e+01,
+9.300000e+03,+4.116651e-01,-4.904492e-01,+6.403190e-01,-4.999113e+01,
+9.400000e+03,+4.065922e-01,-4.894901e-01,+6.363315e-01,-5.028547e+01,
+9.500000e+03,+4.016141e-01,-4.885187e-01,+6.324116e-01,-5.057618e+01,
+9.600000e+03,+3.966804e-01,-4.874739e-01,+6.284792e-01,-5.086314e+01,
+9.700000e+03,+3.918323e-01,-4.864093e-01,+6.246012e-01,-5.114644e+01,
+9.800000e+03,+3.870534e-01,-4.853074e-01,+6.207525e-01,-5.142613e+01,
+9.900000e+03,+3.823350e-01,-4.841579e-01,+6.169188e-01,-5.170218e+01,
+1.000000e+04,+3.776761e-01,-4.829686e-01,+6.131052e-01,-5.197498e+01,
+1.010000e+04,+3.730879e-01,-4.817515e-01,+6.093268e-01,-5.224434e+01,
+1.020000e+04,+3.685670e-01,-4.805073e-01,+6.055815e-01,-5.251045e+01,
+1.030000e+04,+3.641529e-01,-4.792876e-01,+6.019335e-01,-5.277317e+01,
+1.040000e+04,+3.597466e-01,-4.779668e-01,+5.982223e-01,-5.303268e+01,
+1.050000e+04,+3.554402e-01,-4.766681e-01,+5.946009e-01,-5.328896e+01,
+1.060000e+04,+3.512013e-01,-4.753515e-01,+5.910173e-01,-5.354210e+01,
+1.070000e+04,+3.470049e-01,-4.739865e-01,+5.874314e-01,-5.379219e+01,
+1.080000e+04,+3.429149e-01,-4.726600e-01,+5.839504e-01,-5.403910e+01,
+1.090000e+04,+3.388392e-01,-4.712526e-01,+5.804232e-01,-5.428317e+01,
+1.100000e+04,+3.348307e-01,-4.698361e-01,+5.769381e-01,-5.452426e+01,
+1.110000e+04,+3.309065e-01,-4.684381e-01,+5.735271e-01,-5.476246e+01,
+1.120000e+04,+3.270392e-01,-4.670212e-01,+5.701433e-01,-5.499774e+01,
+1.130000e+04,+3.231827e-01,-4.655254e-01,+5.667107e-01,-5.523037e+01,
+1.140000e+04,+3.194478e-01,-4.641083e-01,+5.634212e-01,-5.546019e+01,
+1.150000e+04,+3.157398e-01,-4.626382e-01,+5.601122e-01,-5.568737e+01,
+1.160000e+04,+3.120786e-01,-4.611423e-01,+5.568171e-01,-5.591177e+01,
+1.170000e+04,+3.084663e-01,-4.596266e-01,+5.535414e-01,-5.613351e+01,
+1.180000e+04,+3.049434e-01,-4.581531e-01,+5.503588e-01,-5.635255e+01,
+1.190000e+04,+3.014654e-01,-4.566582e-01,+5.471910e-01,-5.656898e+01,
+1.200000e+04,+2.980557e-01,-4.551796e-01,+5.440824e-01,-5.678286e+01,
+1.210000e+04,+2.946529e-01,-4.536252e-01,+5.409216e-01,-5.699420e+01,
+1.220000e+04,+2.913474e-01,-4.521364e-01,+5.378761e-01,-5.720309e+01,
+1.230000e+04,+2.880702e-01,-4.506075e-01,+5.348192e-01,-5.740950e+01,
