Datos provenientes de SR865 
F,X,Y,R,T,
+1.380000e+04,+2.484059e-01,-4.231532e-01,+4.906773e-01,-5.958555e+01,
+1.400000e+04,+2.432253e-01,-4.200656e-01,+4.854005e-01,-5.992840e+01,
+1.420000e+04,+2.381914e-01,-4.169889e-01,+4.802238e-01,-6.026423e+01,
+1.440000e+04,+2.333068e-01,-4.139343e-01,+4.751565e-01,-6.059298e+01,
+1.460000e+04,+2.285780e-01,-4.109243e-01,+4.702198e-01,-6.091486e+01,
+1.480000e+04,+2.239721e-01,-4.079041e-01,+4.653485e-01,-6.122967e+01,
+1.500000e+04,+2.194871e-01,-4.048854e-01,+4.605506e-01,-6.153801e+01,
+1.520000e+04,+2.151069e-01,-4.018463e-01,+4.557976e-01,-6.184000e+01,
+1.540000e+04,+2.108866e-01,-3.988841e-01,+4.512002e-01,-6.213497e+01,
+1.560000e+04,+2.067675e-01,-3.959284e-01,+4.466678e-01,-6.242488e+01,
+1.580000e+04,+2.027751e-01,-3.930230e-01,+4.422497e-01,-6.270911e+01,
+1.600000e+04,+1.988667e-01,-3.900878e-01,+4.378544e-01,-6.298751e+01,
+1.620000e+04,+1.950648e-01,-3.871762e-01,+4.335386e-01,-6.326040e+01,
+1.640000e+04,+1.913764e-01,-3.843108e-01,+4.293247e-01,-6.352793e+01,
+1.660000e+04,+1.877843e-01,-3.814567e-01,+4.251731e-01,-6.378979e+01,
+1.680000e+04,+1.842867e-01,-3.786248e-01,+4.210918e-01,-6.404659e+01,
+1.700000e+04,+1.808792e-01,-3.758153e-01,+4.170784e-01,-6.429858e+01,
+1.720000e+04,+1.775723e-01,-3.730584e-01,+4.131640e-01,-6.454599e+01,
+1.740000e+04,+1.743555e-01,-3.703296e-01,+4.093212e-01,-6.478839e+01,
+1.760000e+04,+1.712004e-01,-3.675815e-01,+4.054945e-01,-6.502633e+01,
+1.780000e+04,+1.681380e-01,-3.648872e-01,+4.017625e-01,-6.526000e+01,
+1.800000e+04,+1.651495e-01,-3.622021e-01,+3.980762e-01,-6.548893e+01,
+1.820000e+04,+1.622430e-01,-3.595612e-01,+3.944706e-01,-6.571392e+01,
+1.840000e+04,+1.593827e-01,-3.568895e-01,+3.908618e-01,-6.593501e+01,
+1.860000e+04,+1.566184e-01,-3.543012e-01,+3.873740e-01,-6.615222e+01,
+1.880000e+04,+1.539321e-01,-3.517588e-01,+3.839653e-01,-6.636549e+01,
+1.900000e+04,+1.512835e-01,-3.491734e-01,+3.805375e-01,-6.657475e+01,
+1.920000e+04,+1.487160e-01,-3.466476e-01,+3.772016e-01,-6.678008e+01,
+1.940000e+04,+1.462230e-01,-3.441808e-01,+3.739540e-01,-6.698210e+01,
+1.960000e+04,+1.437683e-01,-3.416953e-01,+3.707088e-01,-6.718108e+01,
+1.980000e+04,+1.413808e-01,-3.392481e-01,+3.675293e-01,-6.737617e+01,
+2.000000e+04,+1.390466e-01,-3.368172e-01,+3.643896e-01,-6.756793e+01,
+2.020000e+04,+1.367858e-01,-3.344477e-01,+3.613387e-01,-6.775592e+01,
+2.040000e+04,+1.345792e-01,-3.321130e-01,+3.583443e-01,-6.794116e+01,
+2.060000e+04,+1.324114e-01,-3.297668e-01,+3.553575e-01,-6.812303e+01,
+2.080000e+04,+1.302992e-01,-3.274625e-01,+3.524338e-01,-6.830209e+01,
+2.100000e+04,+1.282330e-01,-3.251800e-01,+3.495508e-01,-6.847845e+01,
+2.120000e+04,+1.262125e-01,-3.229128e-01,+3.467020e-01,-6.865164e+01,
+2.140000e+04,+1.242344e-01,-3.206646e-01,+3.438895e-01,-6.882225e+01,
+2.160000e+04,+1.223083e-01,-3.184621e-01,+3.411414e-01,-6.899026e+01,
+2.180000e+04,+1.204156e-01,-3.162564e-01,+3.384051e-01,-6.915551e+01,
+2.200000e+04,+1.185720e-01,-3.140950e-01,+3.357305e-01,-6.931830e+01,
+2.220000e+04,+1.167681e-01,-3.119510e-01,+3.330889e-01,-6.947834e+01,
+2.240000e+04,+1.150002e-01,-3.098196e-01,+3.304743e-01,-6.963586e+01,
+2.260000e+04,+1.132850e-01,-3.077468e-01,+3.279353e-01,-6.979077e+01,
+2.280000e+04,+1.115989e-01,-3.056719e-01,+3.254068e-01,-6.994318e+01,
+2.300000e+04,+1.099498e-01,-3.036194e-01,+3.229144e-01,-7.009315e+01,
+2.320000e+04,+1.083404e-01,-3.016002e-01,+3.204690e-01,-7.024075e+01,
+2.340000e+04,+1.067700e-01,-2.996196e-01,+3.180751e-01,-7.038638e+01,
+2.360000e+04,+1.052170e-01,-2.976174e-01,+3.156687e-01,-7.052991e+01,
+2.380000e+04,+1.037160e-01,-2.956886e-01,+3.133508e-01,-7.067112e+01,
+2.400000e+04,+1.022306e-01,-2.937337e-01,+3.110154e-01,-7.081013e+01,
+2.420000e+04,+1.007825e-01,-2.918204e-01,+3.087333e-01,-7.094723e+01,
+2.440000e+04,+9.937139e-02,-2.899478e-01,+3.065035e-01,-7.108229e+01,
+2.460000e+04,+9.798753e-02,-2.880855e-01,+3.042940e-01,-7.121510e+01,
+2.480000e+04,+9.662719e-02,-2.862357e-01,+3.021054e-01,-7.134638e+01,
+2.500000e+04,+9.529347e-02,-2.844054e-01,+2.999454e-01,-7.147594e+01,
+2.520000e+04,+9.398483e-02,-2.825911e-01,+2.978101e-01,-7.160378e+01,
+2.540000e+04,+9.270976e-02,-2.808095e-01,+2.957179e-01,-7.172926e+01,
+2.560000e+04,+9.145303e-02,-2.790288e-01,+2.936337e-01,-7.185320e+01,
+2.580000e+04,+9.023336e-02,-2.773047e-01,+2.916161e-01,-7.197540e+01,
+2.600000e+04,+8.902616e-02,-2.755650e-01,+2.895889e-01,-7.209602e+01,
+2.620000e+04,+8.784729e-02,-2.738576e-01,+2.876023e-01,-7.221494e+01,
+2.640000e+04,+8.669246e-02,-2.721671e-01,+2.856405e-01,-7.233193e+01,
+2.660000e+04,+8.556572e-02,-2.705119e-01,+2.837220e-01,-7.244730e+01,
+2.680000e+04,+8.445621e-02,-2.688628e-01,+2.818156e-01,-7.256125e+01,
+2.700000e+04,+8.335795e-02,-2.672007e-01,+2.799013e-01,-7.267376e+01,
+2.720000e+04,+8.228869e-02,-2.655807e-01,+2.780369e-01,-7.278469e+01,
+2.740000e+04,+8.124571e-02,-2.639959e-01,+2.762149e-01,-7.289405e+01,
+2.760000e+04,+8.021122e-02,-2.623940e-01,+2.743802e-01,-7.300214e+01,
+2.780000e+04,+7.921049e-02,-2.608541e-01,+2.726154e-01,-7.310865e+01,
+2.800000e+04,+7.822157e-02,-2.593109e-01,+2.708519e-01,-7.321397e+01,
+2.820000e+04,+7.725234e-02,-2.577831e-01,+2.691097e-01,-7.331759e+01,
+2.840000e+04,+7.629820e-02,-2.562655e-01,+2.673825e-01,-7.342009e+01,
+2.860000e+04,+7.536249e-02,-2.547702e-01,+2.656828e-01,-7.352148e+01,
+2.880000e+04,+7.444178e-02,-2.532823e-01,+2.639953e-01,-7.362149e+01,
+2.900000e+04,+7.353288e-02,-2.517947e-01,+2.623121e-01,-7.372034e+01,
+2.920000e+04,+7.264593e-02,-2.503386e-01,+2.606661e-01,-7.381776e+01,
+2.940000e+04,+7.177598e-02,-2.489027e-01,+2.590451e-01,-7.391404e+01,
+2.960000e+04,+7.091362e-02,-2.474547e-01,+2.574152e-01,-7.400917e+01,
+2.980000e+04,+7.007547e-02,-2.460510e-01,+2.558353e-01,-7.410301e+01,
+3.000000e+04,+6.924781e-02,-2.446461e-01,+2.542577e-01,-7.419567e+01,
+3.020000e+04,+6.843951e-02,-2.432745e-01,+2.527181e-01,-7.428731e+01,
+3.040000e+04,+6.764018e-02,-2.418971e-01,+2.511760e-01,-7.437774e+01,
+3.060000e+04,+6.686725e-02,-2.405768e-01,+2.496966e-01,-7.446696e+01,
+3.080000e+04,+6.609987e-02,-2.392409e-01,+2.482044e-01,-7.455505e+01,
+3.100000e+04,+6.534529e-02,-2.379217e-01,+2.467321e-01,-7.464237e+01,
+3.120000e+04,+6.460692e-02,-2.366249e-01,+2.452864e-01,-7.472845e+01,
+3.140000e+04,+6.387867e-02,-2.353316e-01,+2.438472e-01,-7.481349e+01,
+3.160000e+04,+6.316094e-02,-2.340466e-01,+2.424193e-01,-7.489764e+01,
+3.180000e+04,+6.245350e-02,-2.327695e-01,+2.410023e-01,-7.498091e+01,
+3.200000e+04,+6.176102e-02,-2.315162e-01,+2.396126e-01,-7.506318e+01,
+3.220000e+04,+6.107847e-02,-2.302686e-01,+2.382314e-01,-7.514445e+01,
+3.240000e+04,+6.039408e-02,-2.289839e-01,+2.368144e-01,-7.522481e+01,
+3.260000e+04,+5.973779e-02,-2.277741e-01,+2.354775e-01,-7.530415e+01,
