Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

9.998933,121707530.429382,-8294.551697,7428.664859,-0.003905
19.997867,121707849.257446,-22516.639465,7428.684429,-0.010600
30.001920,121702978.263245,-75699.185791,7428.388428,-0.035639
40.003765,121700722.125061,-160640.086914,7428.255754,-0.075630
50.000000,121700620.348816,-267770.581543,7428.261051,-0.126068
60.000662,121694843.171143,-386279.269958,7427.927868,-0.181871
69.996387,121691886.288086,-515294.959473,7427.776560,-0.242620
80.000883,121688276.284119,-649582.162659,7427.595449,-0.305856
89.994552,121684103.719727,-787602.588867,7427.390520,-0.370854
100.000000,121681467.978577,-930962.785706,7427.291436,-0.438364
110.000782,121677240.167908,-1074311.626587,7427.105486,-0.505877
120.001324,121672905.641907,-1219182.432922,7426.924265,-0.574111
130.001981,121667426.125793,-1365878.036560,7426.684944,-0.643213
140.000734,121663003.476746,-1517958.323730,7426.525022,-0.714849
150.000000,121655413.305176,-1663832.874268,7426.178202,-0.783586
160.001766,121650320.331787,-1812345.792175,7425.996871,-0.853554
170.001209,121642994.140198,-1962079.072632,7425.691525,-0.924117
179.993873,121634731.528076,-2111923.671021,7425.340412,-0.994747
189.992704,121626644.635620,-2263090.103210,7425.012807,-1.066003
200.000000,121618548.506348,-2414973.282410,7424.696990,-1.137603
210.013441,121612269.810181,-2565382.184692,7424.501777,-1.208497
219.994849,121603432.482727,-2715343.420776,7424.161188,-1.279211
230.001207,121593060.492920,-2875356.779907,7423.752743,-1.354682
240.002648,121582757.250305,-3020911.936340,7423.339401,-1.423352
250.000000,121573298.644104,-3171656.301941,7422.996513,-1.494462
259.993912,121563683.600159,-3325404.802979,7422.660526,-1.566996
269.990809,121552434.620972,-3476375.564575,7422.231897,-1.638250
279.993444,121543138.013428,-3626979.831909,7421.933194,-1.709312
290.009470,121531335.059448,-3779216.031128,7421.496098,-1.781185
300.009796,121520574.426819,-3928899.549805,7421.129231,-1.851848
310.019841,121507258.092041,-4080292.846375,7420.621249,-1.923364
320.003531,121495771.184875,-4232259.481750,7420.237643,-1.995129
330.010776,121481429.473938,-4383019.201355,7419.688886,-2.066382
339.988426,121468754.172668,-4536912.067749,7419.260383,-2.139092
349.981936,121455041.670837,-4689809.510498,7418.778224,-2.211360
359.987745,121440500.476929,-4844946.114136,7418.262774,-2.284707
370.001941,121424730.703430,-5011808.481567,7417.714038,-2.363613
379.985409,121411192.561035,-5154510.553833,7417.252763,-2.431103
389.426764,121396866.579041,-5298591.620972,7416.757408,-2.499268
400.037651,121378184.661377,-5460458.133789,7416.055653,-2.575913
410.007156,121363810.138184,-5609913.325195,7415.594781,-2.646631
