Barrido en f -> f_inicial:10, f_final:100000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

420.026882,121384837.486084,-5772746.946472,7417.342349,-2.722867
429.979011,121331582.798218,-5914322.320312,7414.511212,-2.790763
439.989698,121344948.449829,-6067302.146362,7415.786473,-2.862515
449.984681,121250622.099548,-6226914.752930,7410.529539,-2.939971
460.002413,121286640.737549,-6385640.722046,7413.228171,-3.013881
470.003342,121328193.439514,-6466171.009644,7416.020884,-3.050775
480.005297,121250843.206116,-6601673.500305,7411.751392,-3.116565
490.166506,121186862.571533,-6779230.710205,7408.449391,-3.201901
500.000000,121187441.230957,-6931146.012390,7409.008332,-3.273482
509.982639,121196346.881042,-7141300.848999,7410.294469,-3.372263
519.987825,121172518.347229,-7253755.121582,7409.249555,-3.425912
529.993719,121094356.164490,-7445750.206909,7405.197259,-3.518630
539.981618,121121912.088684,-7574662.691284,7407.362971,-3.578581
550.017960,121100668.219360,-7758846.880859,7406.779137,-3.666004
559.986888,121106211.622253,-7918244.431519,7407.745198,-3.740935
570.050837,121049246.488220,-8046429.482239,7404.790448,-3.803103
580.018939,121025171.976379,-8144997.030457,7403.725796,-3.850315
590.006510,121017104.910889,-8296010.895020,7403.859204,-3.921742
599.979575,121028144.131958,-8492060.752747,7405.359374,-4.013756
609.756098,120958965.109131,-8641484.355164,7401.791580,-4.086472
620.039683,120932652.094360,-8757751.993408,7400.698795,-4.142161
630.040323,120904769.662415,-8877400.510193,7399.532576,-4.199515
640.007062,120856905.401428,-9057095.032532,7397.430497,-4.285898
651.041667,120848732.254761,-9253753.072815,7397.839800,-4.378895
660.021552,120858862.711426,-9406904.455811,7399.175847,-4.450707
669.967297,120768407.575073,-9572216.449585,7394.461808,-4.531976
679.976852,120781656.777283,-9705685.328430,7395.916044,-4.594397
690.026198,120786018.268250,-9887273.104980,7397.077404,-4.679809
699.963873,120734586.117432,-10096129.165588,7395.000003,-4.780237
710.227273,120703310.318665,-10145018.436584,7393.346992,-4.804515
720.214844,120700782.055542,-10239356.598267,7393.677718,-4.849081
729.955808,120633356.235046,-10389597.514709,7390.358215,-4.922621
740.003882,120611684.172791,-10574996.692017,7390.020089,-5.010916
750.000000,120550090.940125,-10756532.066406,7387.251527,-5.099077
760.198353,120557577.415588,-10885883.483398,7388.412506,-5.159747
769.981971,120575225.513062,-10958758.258850,7389.886614,-5.193345
778.853528,120479255.173279,-11151048.151184,7385.125371,-5.288144
790.028090,120422636.537659,-11283550.876648,7382.434359,-5.353119
800.075301,120415267.063354,-11486097.318787,7383.150180,-5.448969
809.832317,120408798.068054,-11629742.355530,7383.594865,-5.516991
820.014313,120391070.757324,-11845321.860413,7383.794673,-5.619432
830.078125,120327021.790100,-11950306.742249,7380.534649,-5.671912
840.053763,120316736.428894,-12088262.120789,7380.746940,-5.737442
849.971065,120296130.300659,-12230846.036499,7380.370736,-5.805645
859.958022,120266896.995300,-12311147.696106,7379.093087,-5.844909
870.028409,120197615.105103,-12418189.648132,7375.554894,-5.898747
879.979396,120167657.676453,-12605824.701538,7374.922121,-5.988714
890.031646,120136879.925537,-12720379.702148,7373.786739,-6.044272
899.969363,120096877.644775,-12877753.802917,7372.376633,-6.120510
909.978693,120078969.341431,-13024419.519592,7372.249747,-6.190595
919.950181,120072303.296753,-13210998.879761,7373.082033,-6.278920
