frecuencia,X,Y,R,T
10,1.0066769123077393,2.195723391196225e-05,1.0066769123077393,0.001249924534931779
110,1.0062410831451416,-0.027584629133343697,1.0066190958023071,-1.5702860355377197
210,1.0055814981460571,-0.04121825844049454,1.0064258575439453,-2.347209930419922
310,1.004319190979004,-0.05431724339723587,1.0057870149612427,-3.0957489013671875
410,1.0029393434524536,-0.06724286824464798,1.0051909685134888,-3.8357009887695312
510,1.0011391639709473,-0.08005781471729279,1.0043349266052246,-4.572026252746582
610,0.9989646673202515,-0.09275849163532257,1.003261923789978,-5.304966926574707
710,0.9965086579322815,-0.10535146296024323,1.0020620822906494,-6.034925937652588
810,0.993752658367157,-0.11783406883478165,1.0007143020629883,-6.76226282119751
910,0.9908218383789062,-0.13021576404571533,0.9993418455123901,-7.487017631530762
1010,0.9874855875968933,-0.1424618512392044,0.9977089762687683,-8.209263801574707
1110,0.9839109778404236,-0.1545746624469757,0.9959790110588074,-8.92832088470459
1210,0.9799530506134033,-0.16653266549110413,0.9940025210380554,-9.644672393798828
1310,0.9757298827171326,-0.17832987010478973,0.9918922781944275,-10.357383728027344
1410,0.9711958169937134,-0.18995875120162964,0.9895987510681152,-11.066915512084961
1510,0.966525137424469,-0.20144028961658478,0.9872937798500061,-11.772884368896484
1610,0.961440920829773,-0.21270519495010376,0.9846888780593872,-12.474939346313477
1710,0.9563047289848328,-0.22383004426956177,0.9821500182151794,-13.173351287841797
1810,0.950762152671814,-0.23471854627132416,0.9793066382408142,-13.867552757263184
1910,0.9449658989906311,-0.2453986555337906,0.9763098955154419,-14.557604789733887
2010,0.9391567707061768,-0.25592297315597534,0.9734023213386536,-15.24315357208252
2110,0.9330310225486755,-0.2662102282047272,0.9702653288841248,-15.924383163452148
2210,0.9266842007637024,-0.27627137303352356,0.9669899344444275,-16.600841522216797
2310,0.9201354384422302,-0.2861050069332123,0.9635897874832153,-17.272449493408203
2410,0.913435161113739,-0.29572004079818726,0.9601115584373474,-17.93910026550293
2510,0.9065558314323425,-0.3051014244556427,0.9565199613571167,-18.600662231445312
2610,0.8996242880821228,-0.31428971886634827,0.952943742275238,-19.257200241088867
2710,0.8924244046211243,-0.3232012689113617,0.9491471648216248,-19.90840721130371
2810,0.8850395083427429,-0.3318549692630768,0.9452103972434998,-20.554065704345703
2910,0.8777374029159546,-0.3403531312942505,0.941415548324585,-21.194395065307617
3010,0.8701266646385193,-0.348539799451828,0.9373368620872498,-21.82916831970215
3110,0.8624508380889893,-0.35649943351745605,0.9332273006439209,-22.458057403564453
3210,0.8546142578125,-0.36419492959976196,0.9289798140525818,-23.081336975097656
3310,0.8468069434165955,-0.37170031666755676,0.9247936010360718,-23.698753356933594
3410,0.8388574123382568,-0.37894073128700256,0.9204769730567932,-24.31032943725586
3510,0.8308148384094238,-0.38593488931655884,0.9160780310630798,-24.916080474853516
3610,0.8226866126060486,-0.39267799258232117,0.9115971326828003,-25.515689849853516
3710,0.8145852088928223,-0.3992292582988739,0.9071565866470337,-26.10953140258789
3810,0.8063284754753113,-0.40549203753471375,0.9025460481643677,-26.697221755981445
3910,0.7981172800064087,-0.4115650951862335,0.89798504114151,-27.278797149658203
4010,0.7898170351982117,-0.4173789918422699,0.893317461013794,-27.854223251342773
4110,0.7814343571662903,-0.42293524742126465,0.8885459303855896,-28.423553466796875
4210,0.7732023596763611,-0.4283604919910431,0.8839313387870789,-28.986812591552734
4310,0.7649548649787903,-0.4335643947124481,0.8792804479598999,-29.543880462646484
4410,0.7565324902534485,-0.4384555518627167,0.8744053244590759,-30.09484100341797
4510,0.7481902241706848,-0.44317594170570374,0.8695938587188721,-30.639554977416992
4610,0.7399526834487915,-0.44774481654167175,0.8648730516433716,-31.178096771240234
4710,0.7316433191299438,-0.4520592987537384,0.8600346446037292,-31.71060562133789
4810,0.7233729958534241,-0.4561861455440521,0.8552042245864868,-32.23706817626953
4910,0.7151044607162476,-0.460097998380661,0.8503320217132568,-32.7572135925293
5010,0.7068382501602173,-0.46379920840263367,0.8454170823097229,-33.27128982543945
5110,0.6986918449401855,-0.4673694670200348,0.8405977487564087,-33.779380798339844
5210,0.690558135509491,-0.4707387089729309,0.8357424736022949,-34.28141403198242
5310,0.6823465824127197,-0.4738452434539795,0.8307383060455322,-34.777462005615234
5410,0.674322247505188,-0.4768727719783783,0.8259044885635376,-35.26750183105469
5510,0.6662998199462891,-0.4796988368034363,0.821015477180481,-35.75178527832031
5610,0.6582226753234863,-0.48227372765541077,0.8159933090209961,-36.229888916015625
5710,0.6502893567085266,-0.4847497045993805,0.8110848069190979,-36.702205657958984
5810,0.6425467133522034,-0.48716896772384644,0.8063497543334961,-37.16883850097656
5910,0.6346896290779114,-0.48930278420448303,0.8014038801193237,-37.62978744506836
6010,0.6269161701202393,-0.4912979304790497,0.7964907884597778,-38.08487319946289
6110,0.6191886067390442,-0.4931301176548004,0.7915629744529724,-38.53428268432617
6210,0.611583948135376,-0.4948647618293762,0.7867185473442078,-38.97814178466797
6310,0.6040818691253662,-0.4964894652366638,0.7819314002990723,-39.41647720336914
6410,0.5965214967727661,-0.49787214398384094,0.7769907116889954,-39.8492431640625
6510,0.5890702605247498,-0.4991537630558014,0.7721127867698669,-40.27655792236328
6610,0.5817663073539734,-0.5003710389137268,0.7673481106758118,-40.69846725463867
6710,0.574476957321167,-0.5014145970344543,0.7625223994255066,-41.115081787109375
6810,0.5673524141311646,-0.5024174451828003,0.7578337788581848,-41.52640914916992
6910,0.5602685809135437,-0.50327467918396,0.7531177401542664,-41.932525634765625
7010,0.5532214641571045,-0.5039845108985901,0.7483677268028259,-42.33350372314453
7110,0.5463041067123413,-0.5046353340148926,0.7437102794647217,-42.72945785522461
7210,0.5394806861877441,-0.5051952004432678,0.7390950918197632,-43.12026596069336
7310,0.5326620936393738,-0.5055832862854004,0.7344000339508057,-43.505985260009766
7410,0.5259663462638855,-0.5059179067611694,0.7297900319099426,-43.88693618774414
7510,0.519393265247345,-0.5061982274055481,0.7252627015113831,-44.262882232666016
7610,0.5128121376037598,-0.5063075423240662,0.7206410765647888,-44.634307861328125
7710,0.5064024925231934,-0.5064188241958618,0.7161728739738464,-45.00091552734375
7810,0.5000620484352112,-0.50643390417099,0.7117143273353577,-45.36271667480469
7910,0.4937712252140045,-0.5063360333442688,0.7072383761405945,-45.719791412353516
