Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

420.026882,121324071.419922,-5781732.360168,7413.663645,-2.728463
429.979011,121359543.922485,-5901867.728149,7416.178888,-2.784255
439.989698,121318581.508728,-6077553.010681,7414.210401,-2.867966
449.984681,121270499.121338,-6198359.308777,7411.652004,-2.926033
460.002413,121256900.848694,-6357307.966553,7411.324705,-3.001268
470.003342,121243415.083435,-6454170.551208,7410.814631,-3.047249
480.005297,121196820.401428,-6694310.964783,7408.768570,-3.161615
490.166506,121201501.403748,-6787611.318054,7409.370091,-3.205465
500.000000,121182175.529358,-6978051.255310,7408.851487,-3.295729
509.982639,121095651.182861,-7106744.592285,7404.035085,-3.358766
519.987825,121217001.819824,-7282038.477600,7412.063165,-3.437979
529.993719,121119419.411499,-7383214.871582,7406.490938,-3.488431
539.981618,121128497.013672,-7574218.966980,7407.762421,-3.578178
550.017960,121102421.419617,-7759538.088440,7406.888626,-3.666276
559.986888,121100528.214722,-7882786.494812,7407.258144,-3.724405
570.050837,121054106.785339,-8050945.464355,7405.104740,-3.805079
580.018939,121022299.932495,-8149250.498840,7403.568329,-3.852411
590.006510,120961683.288513,-8337591.617371,7400.658446,-3.943137
599.979575,120998949.431213,-8471699.676086,7403.494884,-4.005127
609.756098,120960759.264038,-8609389.471130,7401.761475,-4.071285
620.039683,120938450.919067,-8781625.509521,7401.157202,-4.153215
630.040323,120913067.720398,-8965178.859375,7400.431941,-4.240599
640.007062,120886784.967651,-9099233.725769,7399.441765,-4.304704
651.041667,120818910.229980,-9220765.770081,7395.871376,-4.364419
660.021552,120823798.308960,-9388201.416321,7396.953553,-4.443177
669.967297,120814288.065369,-9568663.583801,7397.236340,-4.528588
679.976852,120764254.658203,-9714151.290588,7394.898698,-4.599047
690.026198,120784530.305176,-9855890.428833,7396.830854,-4.665077
699.963873,120716954.699768,-10077032.019226,7393.830521,-4.771930
710.227273,120710136.880066,-10099190.207214,7393.528461,-4.782643
720.214844,120682635.137512,-10245065.895752,7392.603518,-4.852498
729.955808,120600414.633606,-10364823.723938,7388.225343,-4.912275
740.003882,120594250.327393,-10576207.509827,7388.966503,-5.012208
750.000000,120579878.708008,-10776692.048096,7389.171927,-5.107328
760.198353,120560673.962708,-10869583.609863,7388.511342,-5.151931
769.981971,120528221.774597,-11048376.284851,7387.526742,-5.237610
778.853528,120514938.108826,-11182155.059021,7387.469260,-5.301251
790.028090,120470090.764709,-11335670.978027,7385.615542,-5.375596
800.075301,120414357.922119,-11552825.528687,7383.482803,-5.480474
809.832317,120417412.120972,-11635392.796265,7384.151368,-5.519262
820.014313,120353898.104980,-11851331.541870,7381.572609,-5.623991
830.078125,120362112.626709,-11909754.810486,7382.421870,-5.651153
840.053763,120299576.853455,-12073539.122681,7379.615025,-5.731313
849.971065,120268001.465637,-12226671.137695,7378.636866,-5.805025
859.958022,120300900.357178,-12315933.598816,7381.187509,-5.845525
870.028409,120242630.567627,-12498615.550598,7378.793873,-5.934471
879.979396,120156340.941284,-12627190.661743,7374.371336,-5.999352
890.031646,120142503.548950,-12770930.748657,7374.453586,-6.067832
899.969363,120094422.786560,-12886463.094727,7372.284346,-6.124742
909.978693,120048530.459656,-13074525.176758,7370.733180,-6.215787
919.950181,120033007.363403,-13203531.464050,7370.648069,-6.277437
930.059524,119980855.732727,-13439543.532776,7369.073660,-6.391480
939.849624,119980825.768677,-13611526.907166,7370.247768,-6.472582
