f,X,Y,R,T
10,1.0069785118103027,2.2739266569260508e-05,1.0069785118103027,0.0012943207984790206
20,0.9629929661750793,-0.03157205507159233,0.9635103344917297,-1.8777880668640137
30,1.0067795515060425,-0.014752865768969059,1.0068875551223755,-0.8395258188247681
40,1.007010817527771,-0.01576363667845726,1.007134199142456,-0.8968294262886047
50,1.0068408250808716,-0.018139656633138657,1.0070042610168457,-1.032152533531189
60,1.0069327354431152,-0.0197597648948431,1.0071265697479248,-1.1242132186889648
70,1.0067408084869385,-0.021528268232941628,1.006971001625061,-1.2250336408615112
80,1.0068002939224243,-0.0231305081397295,1.0070658922195435,-1.3160988092422485
90,1.00674307346344,-0.024668414145708084,1.0070452690124512,-1.4036481380462646
100,1.006680965423584,-0.026120467111468315,1.0070198774337769,-1.486325979232788
110,1.006609320640564,-0.02756781317293644,1.0069866180419922,-1.568756103515625
120,1.0065879821777344,-0.028973285108804703,1.0070048570632935,-1.6487274169921875
130,1.00643789768219,-0.030355975031852722,1.0068955421447754,-1.7276194095611572
140,1.0063412189483643,-0.031754303723573685,1.0068421363830566,-1.8073225021362305
150,1.006289005279541,-0.03311200812458992,1.0068336725234985,-1.8846404552459717
160,1.0062520503997803,-0.03448086977005005,1.0068426132202148,-1.96256422996521
170,1.0061050653457642,-0.03581114858388901,1.0067421197891235,-2.03851580619812
180,1.0060969591140747,-0.037142444401979446,1.0067822933197021,-2.1142473220825195
190,1.0060104131698608,-0.03849051147699356,1.006746530532837,-2.191099166870117
200,1.00580632686615,-0.039823636412620544,1.0065944194793701,-2.2673699855804443
210,1.005758285522461,-0.041137393563985825,1.0065993070602417,-2.342198133468628
220,1.0056992769241333,-0.042460158467292786,1.006595253944397,-2.4175658226013184
230,1.0055358409881592,-0.04375866800546646,1.006487488746643,-2.491811752319336
240,1.0054891109466553,-0.045093219727277756,1.0064997673034668,-2.567826509475708
250,1.0054291486740112,-0.046405356377363205,1.0064995288848877,-2.6425983905792236
260,1.005249261856079,-0.04769938811659813,1.0063802003860474,-2.716665029525757
270,1.0051469802856445,-0.04901069775223732,1.0063412189483643,-2.791515350341797
280,1.0049399137496948,-0.05032195895910263,1.0061991214752197,-2.8666679859161377
290,1.004893183708191,-0.05161125957965851,1.0062177181243896,-2.940124988555908
300,1.0047065019607544,-0.05291011556982994,1.0060986280441284,-3.0145413875579834
310,1.0046451091766357,-0.05422176048159599,1.006107211112976,-3.0893166065216064
320,1.0045485496520996,-0.05551065877079964,1.0060811042785645,-3.1629085540771484
330,1.0044102668762207,-0.056799523532390594,1.0060150623321533,-3.236635446548462
340,1.0042341947555542,-0.05810179188847542,1.005913496017456,-3.311258554458618
350,1.004096269607544,-0.05938802286982536,1.005850911140442,-3.384857177734375
360,1.0040223598480225,-0.06068277731537819,1.0058544874191284,-3.4587290287017822
370,1.0038001537322998,-0.06196705624461174,1.0057109594345093,-3.5325260162353516
380,1.003609299659729,-0.06324738264083862,1.0056002140045166,-3.606006622314453
390,1.0034971237182617,-0.06453923881053925,1.005570411682129,-3.679870128631592
400,1.0034008026123047,-0.06582453101873398,1.005557656288147,-3.7533066272735596
410,1.0031732320785522,-0.067109115421772,1.0054153203964233,-3.8272042274475098
420,1.002987265586853,-0.06838876008987427,1.005316138267517,-3.9006781578063965
430,1.0028808116912842,-0.06967313587665558,1.005298137664795,-3.974123239517212
440,1.002681851387024,-0.07095444202423096,1.005189299583435,-4.047769546508789
450,1.0025615692138672,-0.07223321497440338,1.0051603317260742,-4.1209635734558105
460,1.0023905038833618,-0.07351185381412506,1.005082368850708,-4.194365978240967
470,1.0022162199020386,-0.07479387521743774,1.0050032138824463,-4.2679853439331055
480,1.002076268196106,-0.07607731223106384,1.0049599409103394,-4.341549873352051
490,1.001814365386963,-0.07734259963035583,1.0047955513000488,-4.414622783660889
500,1.001651406288147,-0.07861562073230743,1.0047317743301392,-4.487717628479004
510,1.001493215560913,-0.07989660650491714,1.004675269126892,-4.561251163482666
520,1.0013046264648438,-0.08116679638624191,1.0045888423919678,-4.634322643280029
530,1.0010485649108887,-0.08243322372436523,1.0044368505477905,-4.70750617980957
540,1.0008894205093384,-0.0837063118815422,1.0043835639953613,-4.780630111694336
550,1.0006921291351318,-0.08498029410839081,1.0042940378189087,-4.853998184204102
560,1.0004311800003052,-0.08624042570590973,1.0041414499282837,-4.9269022941589355
570,1.0002228021621704,-0.08751647919416428,1.0040441751480103,-5.000471591949463
580,1.0000574588775635,-0.08877916634082794,1.0039904117584229,-5.073080062866211
590,0.9998565316200256,-0.09004930406808853,1.0039033889770508,-5.14630126953125
600,0.999679446220398,-0.09131618589162827,1.0038414001464844,-5.219225883483887
610,0.9994078278541565,-0.0925787091255188,1.0036866664886475,-5.292407989501953
620,0.9991474747657776,-0.0938362404704094,1.0035442113876343,-5.365270614624023
630,0.9988909959793091,-0.09509743005037308,1.003407597541809,-5.438339710235596
640,0.9986743330955505,-0.0963563546538353,1.0033119916915894,-5.511081218719482
650,0.9984010457992554,-0.09761087596416473,1.0031613111495972,-5.583901405334473
660,0.9981209635734558,-0.09886430948972702,1.0030052661895752,-5.65671968460083
670,0.9978880882263184,-0.10012178122997284,1.0028983354568481,-5.729520797729492
680,0.9976632595062256,-0.10138572007417679,1.0028016567230225,-5.802659034729004
690,0.9974109530448914,-0.10263741761445999,1.0026779174804688,-5.875275611877441
700,0.9970798492431641,-0.10388090461492538,1.002476692199707,-5.947909832000732
710,0.9967972636222839,-0.10513234883546829,1.0023261308670044,-6.0207343101501465
720,0.996560275554657,-0.1063828095793724,1.0022224187850952,-6.093249320983887
730,0.996416449546814,-0.10764478892087936,1.0022140741348267,-6.165860652923584
740,0.9960398077964783,-0.10888059437274933,1.0019731521606445,-6.238433361053467
750,0.9957176446914673,-0.11012750118970871,1.0017892122268677,-6.3113250732421875
760,0.9954798817634583,-0.11137215048074722,1.0016905069351196,-6.383581638336182
770,0.9952448606491089,-0.11262170225381851,1.0015966892242432,-6.456114768981934
780,0.995047390460968,-0.11387910693883896,1.0015426874160767,-6.5288615226745605
790,0.9947841763496399,-0.11512335389852524,1.0014234781265259,-6.6013007164001465
800,0.9944058060646057,-0.1163526326417923,1.0011897087097168,-6.673672199249268
810,0.9941961169242859,-0.11760223656892776,1.0011274814605713,-6.74609899520874
820,0.9938036203384399,-0.11883462220430374,1.0008833408355713,-6.818797588348389
830,0.9935063719749451,-0.12007350474596024,1.0007359981536865,-6.891247272491455
840,0.9932158589363098,-0.1213100478053093,1.0005967617034912,-6.96353816986084
850,0.9929050803184509,-0.12254857271909714,1.0004392862319946,-7.036103248596191
860,0.9926860332489014,-0.12379180639982224,1.0003749132156372,-7.108310699462891
870,0.9924036860466003,-0.12503188848495483,1.0002490282058716,-7.18079948425293
880,0.9921070337295532,-0.1262628436088562,1.000109314918518,-7.25289249420166
890,0.9917876124382019,-0.12749291956424713,0.9999485015869141,-7.325119495391846
900,0.9914608597755432,-0.12872090935707092,0.9997818470001221,-7.397307872772217
910,0.991112232208252,-0.1299450695514679,0.999594509601593,-7.469465255737305
920,0.9908507466316223,-0.13118083775043488,0.9994966983795166,-7.541652202606201
930,0.9905382394790649,-0.13240990042686462,0.9993489980697632,-7.613859176635742
940,0.9901852607727051,-0.13363415002822876,0.9991621375083923,-7.686126232147217
950,0.9898780584335327,-0.1348564475774765,0.9990218877792358,-7.757953643798828
960,0.9894317984580994,-0.13606859743595123,0.9987441897392273,-7.8303117752075195
970,0.989173948764801,-0.13730183243751526,0.9986575245857239,-7.902420997619629
980,0.9887978434562683,-0.13851118087768555,0.9984520673751831,-7.97412633895874
990,0.9884650707244873,-0.13973206281661987,0.9982926845550537,-8.04616928100586
1000,0.9881228804588318,-0.14095206558704376,0.9981254935264587,-8.118261337280273
1010,0.9877382516860962,-0.14216172695159912,0.9979162812232971,-8.190136909484863
1020,0.987393856048584,-0.14337773621082306,0.9977493286132812,-8.26207160949707
1030,0.987076461315155,-0.14459630846977234,0.9976112246513367,-8.333951950073242
1040,0.986687183380127,-0.14580003917217255,0.9974012970924377,-8.405611038208008
1050,0.9863309860229492,-0.14701202511787415,0.9972268342971802,-8.477490425109863
1060,0.9859720468521118,-0.1482180655002594,0.9970504641532898,-8.549078941345215
1070,0.9856358766555786,-0.14943765103816986,0.9969000220298767,-8.62126636505127
1080,0.9852217435836792,-0.15063132345676422,0.9966703057289124,-8.692682266235352
1090,0.9849080443382263,-0.15184468030929565,0.9965443015098572,-8.764369010925293
1100,0.9845882058143616,-0.15305790305137634,0.9964138865470886,-8.8361177444458
1110,0.9841671586036682,-0.1542532593011856,0.9961822628974915,-8.907773971557617
1120,0.9838053584098816,-0.15545648336410522,0.9960119128227234,-8.979375839233398
1130,0.9834102988243103,-0.15665236115455627,0.9958091378211975,-9.050888061523438
1140,0.983022153377533,-0.15785256028175354,0.9956153631210327,-9.122611999511719
1150,0.9826390147209167,-0.1590479165315628,0.9954274296760559,-9.194040298461914
1160,0.9823417663574219,-0.16025899350643158,0.9953282475471497,-9.265595436096191
1170,0.9818790555000305,-0.1614374965429306,0.9950621128082275,-9.336857795715332
1180,0.981422483921051,-0.16262325644493103,0.9948046803474426,-9.408513069152832
1190,0.981106162071228,-0.1638241410255432,0.9946897625923157,-9.47973346710205
1200,0.9806672930717468,-0.16500891745090485,0.9944527745246887,-9.551228523254395
1210,0.9802728891372681,-0.1661958396434784,0.9942615628242493,-9.622448921203613
1220,0.9798763394355774,-0.16738475859165192,0.9940700531005859,-9.693831443786621
1230,0.9794504046440125,-0.16856646537780762,0.99385005235672,-9.765117645263672
1240,0.9790171384811401,-0.16974464058876038,0.9936235547065735,-9.836308479309082
1250,0.9785679578781128,-0.17092053592205048,0.9933826327323914,-9.907561302185059
1260,0.9781941771507263,-0.17210723459720612,0.9932193160057068,-9.978708267211914
1270,0.9777855277061462,-0.17328740656375885,0.9930222034454346,-10.049856185913086
1280,0.9773977398872375,-0.17446786165237427,0.9928470253944397,-10.120841026306152
1290,0.9769784212112427,-0.175645649433136,0.9926420450210571,-10.1920166015625
1300,0.9765214323997498,-0.17681440711021423,0.9923998713493347,-10.263097763061523
1310,0.9760589599609375,-0.17797936499118805,0.9921531081199646,-10.334054946899414
1320,0.9756916761398315,-0.17916034162044525,0.99200439453125,-10.404964447021484
1330,0.9752557873725891,-0.1803310364484787,0.991787850856781,-10.476032257080078
1340,0.9747985601425171,-0.18149352073669434,0.9915503859519958,-10.546889305114746
1350,0.9743327498435974,-0.18265672028064728,0.9913061261177063,-10.617912292480469
1360,0.9738984107971191,-0.1838194578886032,0.991094172000885,-10.688607215881348
1370,0.9733989834785461,-0.18497183918952942,0.9908179640769958,-10.759446144104004
