frecuencia,X,Y,R,T
1000,1.0035403966903687,-0.03610951453447342,1.0041898488998413,-2.060734748840332
1020,1.0035388469696045,-0.03654279187321663,1.0042039155960083,-2.0854427814483643
1040,1.0034430027008057,-0.03697318956255913,1.0041239261627197,-2.1101834774017334
1060,1.0034350156784058,-0.03741350397467613,1.0041321516036987,-2.135308265686035
1080,1.0034233331680298,-0.03785039111971855,1.0041370391845703,-2.160243511199951
1100,1.003458857536316,-0.038285523653030396,1.0041890144348145,-2.1849775314331055
1120,1.0034371614456177,-0.03872445970773697,1.0041841268539429,-2.2100510597229004
1140,1.003344178199768,-0.039151210337877274,1.0041077136993408,-2.234588623046875
1160,1.0033482313156128,-0.039601441472768784,1.0041295289993286,-2.260249614715576
1180,1.0033607482910156,-0.040036316961050034,1.0041592121124268,-2.285015821456909
1200,1.0032720565795898,-0.04046601429581642,1.0040878057479858,-2.3097171783447266
1220,1.0032353401184082,-0.040899258106946945,1.0040687322616577,-2.3345038890838623
1240,1.0032339096069336,-0.04133298248052597,1.0040849447250366,-2.359236001968384
1260,1.003249168395996,-0.04178185388445854,1.004118800163269,-2.3847930431365967
1280,1.003212332725525,-0.0422133207321167,1.0041000843048096,-2.4094789028167725
1300,1.0032271146774292,-0.042648475617170334,1.0041332244873047,-2.4342520236968994
1320,1.003174066543579,-0.04308313503861427,1.004098892211914,-2.459160089492798
1340,1.0032275915145874,-0.04352099820971489,1.0041711330413818,-2.4839894771575928
1360,1.0031819343566895,-0.04396001249551773,1.0041446685791016,-2.509129524230957
1380,1.003157138824463,-0.04439415782690048,1.0041389465332031,-2.5339386463165283
1400,1.0031123161315918,-0.04482785612344742,1.0041134357452393,-2.558774948120117
1420,1.003147840499878,-0.04526840150356293,1.0041687488555908,-2.5837972164154053
1440,1.0030800104141235,-0.04570529982447624,1.0041207075119019,-2.6088759899139404
1460,1.0030933618545532,-0.04613533616065979,1.0041537284851074,-2.633352041244507
1480,1.0030328035354614,-0.04657407104969025,1.0041134357452393,-2.6585195064544678
1500,1.0030437707901,-0.04700862616300583,1.0041446685791016,-2.683258533477783
1520,1.0029797554016113,-0.047444719821214676,1.004101276397705,-2.7082877159118652
1540,1.0029706954956055,-0.04788561537861824,1.0041131973266602,-2.7334415912628174
1560,1.0029069185256958,-0.0483139343559742,1.0040700435638428,-2.758028507232666
1580,1.002915859222412,-0.04875354841351509,1.0041002035140991,-2.783059597015381
1600,1.0028194189071655,-0.049186501652002335,1.004024863243103,-2.8080050945281982
1620,1.0027531385421753,-0.04962494596838951,1.0039803981781006,-2.8331828117370605
1640,1.0028070211410522,-0.05006614327430725,1.0040559768676758,-2.8581762313842773
1660,1.0027635097503662,-0.05049864947795868,1.004034161567688,-2.882950782775879
1680,1.0026925802230835,-0.050935860723257065,1.0039855241775513,-2.908074140548706
1700,1.0027495622634888,-0.05137171596288681,1.0040645599365234,-2.9327480792999268
1720,1.0026763677597046,-0.051807254552841187,1.0040138959884644,-2.9577841758728027
1740,1.0026800632476807,-0.05224757269024849,1.0040403604507446,-2.9828665256500244
1760,1.0026229619979858,-0.052679430693387985,1.0040059089660645,-3.007648229598999
1780,1.0026569366455078,-0.053121741861104965,1.0040632486343384,-3.0327506065368652
1800,1.0025862455368042,-0.05355489253997803,1.004015564918518,-3.0576486587524414
1820,1.002529263496399,-0.05398732051253319,1.0039818286895752,-3.0824642181396484
1840,1.0024429559707642,-0.05441921576857567,1.003919005393982,-3.1073431968688965
1860,1.0024694204330444,-0.054859571158885956,1.003969430923462,-3.1323554515838623
1880,1.0023900270462036,-0.05529563128948212,1.0039139986038208,-3.1574528217315674
1900,1.0024150609970093,-0.05573544651269913,1.0039633512496948,-3.182434320449829
1920,1.0023910999298096,-0.05616980418562889,1.003963589668274,-3.2072603702545166
1940,1.002334713935852,-0.05660170316696167,1.0039315223693848,-3.2320504188537598
1960,1.002286434173584,-0.057040076702833176,1.0039081573486328,-3.257185459136963
1980,1.0023651123046875,-0.057483792304992676,1.004012107849121,-3.2822115421295166
2000,1.002336025238037,-0.05792125687003136,1.0040080547332764,-3.3072304725646973
