Barrido en f -> f_inicial:10000, f_final:1000000, step: 10
Parametros -> M:64,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

10000.000000,121715401.701660,-4123.111694,7429.145285,-0.001941
10009.765625,121715309.614563,-4833.930908,7429.139666,-0.002276
10020.380435,121714385.637756,-4264.981995,7429.083267,-0.002008
10030.864198,121714340.716125,-4269.813782,7429.080526,-0.002010
10044.642857,121713803.263123,-4144.197449,7429.047721,-0.001951
10059.931507,121713267.744507,-4064.372620,7429.015034,-0.001913
10069.444444,121714135.708313,-4614.545166,7429.068013,-0.002172
10080.645161,121712851.508301,-3488.998535,7428.989627,-0.001642
10091.145833,121712002.314453,-4214.151245,7428.937796,-0.001984
10099.085366,121712319.549927,-4041.532227,7428.957159,-0.001903
10110.294118,121712804.792114,-4401.969360,7428.986778,-0.002072
10120.738636,121712378.409790,-3775.227905,7428.960751,-0.001777
10130.494505,121711280.686157,-4601.455811,7428.893751,-0.002166
10139.627660,121712078.782471,-3497.389282,7428.942462,-0.001646
10148.195876,121712051.178101,-4945.059021,7428.940781,-0.002328
10156.250000,121712253.670898,-3961.518372,7428.953138,-0.001865
10168.650794,121709953.690308,-3655.783997,7428.812753,-0.001721
10179.924242,121710654.619812,-3668.526794,7428.855536,-0.001727
10190.217391,121710734.386414,-4048.594238,7428.860406,-0.001906
10199.652778,121711213.499573,-3574.974121,7428.889648,-0.001683
10208.333333,121710283.681396,-3579.035278,7428.832895,-0.001685
10216.346154,121709002.821777,-3716.384094,7428.754715,-0.001750
10230.654762,121709429.668213,-3388.714661,7428.780768,-0.001595
10237.068966,121709488.458862,-4049.945190,7428.784358,-0.001907
10248.655914,121710233.960022,-4657.968384,7428.829862,-0.002193
10258.838384,121710779.796509,-3994.949951,7428.863177,-0.001881
10267.857143,121709911.428772,-4205.769287,7428.810175,-0.001980
10279.605263,121708475.191956,-4523.486206,7428.722512,-0.002130
10289.634146,121708495.253418,-4265.286560,7428.723736,-0.002008
10298.295455,121709237.848389,-3319.725342,7428.769060,-0.001563
10309.278351,121708369.602295,-4104.475891,7428.716066,-0.001932
10318.396226,121709793.271606,-3435.915894,7428.802962,-0.001618
10328.389831,121709021.850586,-4125.319519,7428.755878,-0.001942
10340.073529,121709513.737915,-3412.775513,7428.785900,-0.001607
10349.025974,121708859.195496,-3520.581421,7428.745948,-0.001657
10360.054348,121708061.589600,-4088.786621,7428.697266,-0.001925
10363.520408,121707153.060181,-4826.471313,7428.641814,-0.002272
10416.666667,121707813.814331,-4042.770691,7428.682142,-0.001903
10470.360825,121707896.207397,-3874.664978,7428.687171,-0.001824
10480.182927,121706967.669678,-3892.067993,7428.630496,-0.001832
10491.071429,121707140.711182,-5164.682983,7428.641061,-0.002431
