Barrido en f -> f_inicial:10000, f_final:2000000, step: 10
Parametros -> M:32,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

10000.000000,121715420.095093,-3217.768433,7429.146406,-0.001515
10009.765625,121716085.081177,-3515.356079,7429.186995,-0.001655
10020.380435,121717543.158936,-3821.957153,7429.275992,-0.001799
10030.864198,121716216.094604,-4406.001099,7429.194993,-0.002074
10038.860104,121716893.345459,-3703.433716,7429.236329,-0.001743
10050.251256,121716137.719727,-3924.221069,7429.190209,-0.001847
10059.931507,121717637.741089,-4290.821777,7429.281766,-0.002020
10069.444444,121715649.347290,-3286.520874,7429.160399,-0.001547
10080.645161,121716298.001587,-3839.582642,7429.199992,-0.001807
10091.145833,121717104.618530,-3554.326050,7429.249225,-0.001673
10099.085366,121716345.299683,-3195.520630,7429.202877,-0.001504
10110.294118,121717633.263550,-1881.382080,7429.281489,-0.000886
10120.738636,121715362.337524,-3617.026733,7429.142881,-0.001703
10130.494505,121716337.091064,-3697.393188,7429.202377,-0.001741
10139.627660,121715241.539917,-3345.906860,7429.135507,-0.001575
10149.572650,121716045.174316,-4134.423706,7429.184560,-0.001946
10161.042945,121715084.712646,-3261.210938,7429.125935,-0.001535
10170.118343,121716594.906372,-2388.720581,7429.218112,-0.001124
10179.924242,121715511.119995,-3438.604370,7429.151962,-0.001619
10190.217391,121716058.836914,-4179.512695,7429.185394,-0.001967
10199.652778,121713645.304565,-3295.163940,7429.038078,-0.001551
10210.396040,121715644.359009,-2710.965698,7429.160093,-0.001276
10220.125786,121716306.433350,-4060.529419,7429.200507,-0.001911
10230.654762,121714335.367676,-4469.174927,7429.080200,-0.002104
10240.112994,121716642.864746,-2999.315918,7429.221040,-0.001412
10250.000000,121715870.695435,-5049.600586,7429.173913,-0.002377
10258.838384,121715111.317505,-3082.210083,7429.127559,-0.001451
10270.979021,121714158.465942,-3873.088135,7429.069401,-0.001823
10279.605263,121715131.069824,-4153.527222,7429.128766,-0.001955
10289.634146,121716712.498535,-3525.054688,7429.225291,-0.001659
10300.279330,121714497.073364,-2700.220215,7429.090066,-0.001271
10309.278351,121714398.968384,-4295.930542,7429.084081,-0.002022
10321.100917,121715022.055908,-2723.237671,7429.122110,-0.001282
10330.578512,121716106.371704,-4068.469360,7429.188296,-0.001915
10340.073529,121715467.038818,-2487.983276,7429.149270,-0.001171
10350.318471,121714704.661743,-4554.011353,7429.102740,-0.002144
10360.054348,121714311.158325,-10099.248047,7429.078742,-0.004754
10363.520408,121714644.582520,-4908.232300,7429.099074,-0.002311
10416.666667,121712789.997192,-3313.031006,7428.985873,-0.001560
10470.360825,121715006.018921,-3837.376221,7429.121133,-0.001806
10480.182927,121713889.670776,-4092.135498,7429.052995,-0.001926
