Barrido en f -> f_inicial:10000, f_final:500000, step: 10
Parametros -> M:128,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

10537.790698,121734803.162170,-3789.292694,7430.329491,-0.001784
10546.875000,121734755.149597,-3103.605774,7430.326560,-0.001461
10557.432432,121732873.324371,-3988.269226,7430.211700,-0.001877
10569.852941,121735361.793640,-4074.922729,7430.363589,-0.001918
10579.427083,121734487.838196,-4417.334595,7430.310246,-0.002079
10590.277778,121734457.825378,-4387.887543,7430.308414,-0.002065
10602.678571,121734613.629578,-4537.486755,7430.317924,-0.002136
10616.987179,121734842.811798,-5023.388123,7430.331914,-0.002364
10633.680556,121733451.136719,-4536.425751,7430.246969,-0.002135
10638.297872,121734066.102936,-5474.726776,7430.284507,-0.002577
10653.409091,121736619.665222,-5005.060608,7430.440368,-0.002356
10670.731707,121732881.584442,-5465.290863,7430.212208,-0.002572
10677.083333,121732596.959290,-5473.615753,7430.194835,-0.002576
10690.789474,121733706.848083,-5248.312561,7430.262579,-0.002470
10699.728261,121732195.013123,-5873.761139,7430.170303,-0.002765
10706.018519,121734411.781281,-5839.441498,7430.305608,-0.002748
10719.476744,121732431.400238,-6212.243622,7430.184732,-0.002924
10742.187500,121730544.035095,-6447.263580,7430.069534,-0.003035
10763.888889,121732300.290985,-6410.844330,7430.176730,-0.003017
10768.581081,121732072.179138,-6443.927094,7430.162807,-0.003033
10775.862069,121732152.131714,-6219.886047,7430.167686,-0.002928
10788.690476,121733627.529938,-6501.910156,7430.257741,-0.003060
10799.632353,121729354.334503,-4731.737091,7429.996913,-0.002227
10804.521277,121731879.466309,-6480.566681,7430.151045,-0.003050
10817.307692,121733726.333069,-6547.941559,7430.263772,-0.003082
10830.965909,121728761.717560,-6087.150635,7429.960745,-0.002865
10836.693548,121731097.391235,-6054.309418,7430.103308,-0.002850
10850.694444,121729233.437805,-6058.500275,7429.989538,-0.002852
10861.280488,121730173.535156,-6236.392395,7430.046919,-0.002935
10869.565217,121730883.481079,-6598.891144,7430.090253,-0.003106
10881.696429,121728641.842468,-6264.418365,7429.953429,-0.002949
10890.151515,121730878.242126,-6155.963196,7430.089932,-0.002898
10901.162791,121730399.840271,-5485.440613,7430.060730,-0.002582
10937.500000,121733441.629669,-5283.805817,7430.246391,-0.002487
10974.702381,121729211.753021,-4663.796112,7429.988210,-0.002195
10979.729730,121731173.724243,-4394.030853,7430.107962,-0.002068
10986.328125,121730481.634888,-4432.895905,7430.065720,-0.002087
10995.370370,121731882.802795,-4536.231262,7430.151243,-0.002135
11008.522727,121728607.036316,-4768.598480,7429.951300,-0.002245
11017.628205,121730085.620605,-3833.051971,7430.041547,-0.001804
11029.411765,121731832.556274,-3893.135834,7430.148175,-0.001832
11039.402174,121729553.707153,-3889.625031,7430.009080,-0.001831
11051.829268,121730915.746429,-3492.911072,7430.092215,-0.001644
11067.708333,121729746.218262,-3272.093628,7430.020830,-0.001540
11082.848837,121730843.909302,-3021.798157,7430.087829,-0.001422
11088.709677,121731322.402954,-2967.207825,7430.117035,-0.001397
11101.973684,121732662.741211,-2513.981628,7430.198844,-0.001183
11111.111111,121730494.516083,-2336.573151,7430.066502,-0.001100
11117.788462,121729699.784851,-1832.831390,7430.017994,-0.000863
11132.812500,121730339.143524,-2255.103516,7430.057019,-0.001061
11160.714286,121730913.863434,-1680.777039,7430.092097,-0.000791
11186.079545,121728372.609894,-1149.524933,7429.936986,-0.000541
11190.878378,121730204.296539,-1027.777069,7430.048787,-0.000484
11197.916667,121729161.806427,-1996.722168,7429.985157,-0.000940
11209.239130,121731516.166595,-2119.145172,7430.128860,-0.000997
11217.948718,121731067.719574,-2200.548767,7430.101489,-0.001036
11230.468750,121729672.685791,-1720.497101,7430.016339,-0.000810
11242.378049,121728392.983246,-1612.685547,7429.938230,-0.000759
11250.000000,121730116.220459,-1997.475708,7430.043412,-0.000940
11259.191176,121728739.511017,-2048.701385,7429.959382,-0.000964
11264.534884,121730038.385559,-3117.691193,7430.038662,-0.001467
11284.722222,121729736.357330,-2360.334778,7430.020226,-0.001111
11307.565789,121728105.868378,-2104.756592,7429.920706,-0.000991
11314.655172,121731089.101898,-2733.373627,7430.102794,-0.001287
11328.125000,121728519.486389,-2847.870331,7429.945953,-0.001340
11340.725806,121730935.505463,-2774.622864,7430.093419,-0.001306
11346.726190,121728002.528015,-3781.251038,7429.914401,-0.001780
11363.636364,121728993.561401,-4127.668121,7429.974891,-0.001943
11383.928571,121729506.752350,-3543.531006,7430.006214,-0.001668
11393.229167,121729020.529205,-3731.934631,7429.976537,-0.001757
11402.027027,121729763.983978,-3867.410858,7430.021915,-0.001820
11418.269231,121728478.324554,-4491.179169,7429.943444,-0.002114
11432.926829,121728669.119293,-4441.499023,7429.955089,-0.002091
11439.732143,121728706.036652,-5030.472900,7429.957344,-0.002368
11446.220930,121728950.408356,-5532.572205,7429.972261,-0.002604
11458.333333,121730057.469879,-4818.896362,7430.039831,-0.002268
11474.609375,121728444.647247,-5278.234009,7429.941390,-0.002484
11488.970588,121730122.143738,-6020.506683,7430.043781,-0.002834
11501.736111,121730498.931396,-5592.167816,7430.066778,-0.002632
11513.157895,121729697.417297,-6830.455719,7430.017860,-0.003215
11523.437500,121729319.335571,-6599.876526,7429.994782,-0.003107
11532.738095,121729468.355347,-6757.238922,7430.003878,-0.003181
11541.193182,121729154.371399,-6579.674774,7429.984713,-0.003097
11548.913043,121729681.484680,-7340.492096,7430.016889,-0.003455
11562.500000,121729585.955627,-7308.165161,7430.011058,-0.003440
11574.074074,121729222.943176,-7472.791443,7429.988902,-0.003517
11584.051724,121730093.976837,-6977.898804,7430.042065,-0.003284
11592.741935,121729470.595795,-7644.243683,7430.004018,-0.003598
11600.378788,121728524.902527,-6997.066650,7429.946294,-0.003294
11607.142857,121728206.777374,-7817.197205,7429.926879,-0.003680
11618.589744,121728564.896332,-7516.266571,7429.948737,-0.003538
11627.906977,121728256.466583,-7311.037964,7429.929910,-0.003441
11718.750000,121728672.244171,-7772.393585,7429.955290,-0.003658
11809.593023,121728945.495026,-5931.348236,7429.971962,-0.002792
11818.910256,121728130.182343,-5621.589966,7429.922197,-0.002646
11830.357143,121728106.591949,-5249.354401,7429.920756,-0.002471
11837.121212,121727660.268158,-5949.131165,7429.893516,-0.002800
11853.448276,121726757.973572,-5836.663910,7429.838442,-0.002747
11863.425926,121726584.984497,-5756.033936,7429.827883,-0.002709
11875.000000,121727742.583893,-4745.031158,7429.898537,-0.002233
11888.586957,121727120.325897,-4744.751434,7429.860556,-0.002233
11904.761905,121726151.426086,-3947.435577,7429.801415,-0.001858
11914.062500,121728167.734802,-3253.835602,7429.924484,-0.001532
11924.342105,121727415.400940,-3674.699432,7429.878564,-0.001730
11935.763889,121728367.968781,-2864.520569,7429.936705,-0.001348
11948.529412,121727065.572235,-3121.539856,7429.857211,-0.001469
11962.890625,121728873.905823,-2146.735931,7429.967585,-0.001010
11979.166667,121727554.136169,-2290.129028,7429.887030,-0.001078
11997.767857,121727940.177826,-1689.593994,7429.910592,-0.000795
12004.573171,121727275.155212,-1660.050110,7429.870001,-0.000781
12019.230769,121728061.937073,-1009.410156,7429.918024,-0.000475
12035.472973,121728223.050140,-1258.145355,7429.927858,-0.000592
12044.270833,121728011.369965,-836.447418,7429.914937,-0.000394
12053.571429,121726658.316040,-573.666718,7429.832351,-0.000270
12073.863636,121726627.835785,-1005.327881,7429.830490,-0.000473
12090.773810,121727990.436432,-520.997955,7429.913659,-0.000245
12096.774194,121728416.421936,-405.286469,7429.939660,-0.000191
12109.375000,121728953.960754,-581.299042,7429.972470,-0.000274
12122.844828,121728252.274078,610.050171,7429.929641,0.000287
12129.934211,121727427.980194,36.426971,7429.879329,0.000017
12152.777778,121728977.496277,9.108673,7429.973906,0.000004
12178.308824,121728070.921417,388.334961,7429.918572,0.000183
12187.500000,121728196.818390,-19.743256,7429.926256,-0.000009
12195.121951,121727173.853302,-221.050568,7429.863817,-0.000104
12207.031250,121726917.332153,194.133850,7429.848160,0.000091
12219.551282,121727491.624359,-307.874634,7429.883213,-0.000145
12228.260870,121726482.370270,60.635406,7429.821611,0.000029
12239.583333,121727696.519897,-632.354462,7429.895720,-0.000298
12246.621622,121727473.536102,-313.040985,7429.882109,-0.000147
12276.785714,121728308.771271,-636.044495,7429.933090,-0.000299
12304.687500,121727607.247101,-1656.171570,7429.890271,-0.000780
12310.606061,121726323.297028,-1812.186676,7429.811903,-0.000853
12319.711538,121726447.809753,-1536.654297,7429.819503,-0.000723
12335.526316,121726309.697083,-1855.391022,7429.811073,-0.000873
12348.790323,121725794.908752,-2893.748138,7429.779653,-0.001362
12369.791667,121727673.836609,-3076.073364,7429.894337,-0.001448
12385.670732,121726692.546082,-3945.390106,7429.834444,-0.001857
12392.241379,121725262.160004,-3979.896454,7429.747137,-0.001873
12408.088235,121726724.371704,-5382.872437,7429.836390,-0.002534
12419.871795,121725211.139893,-7585.082214,7429.744034,-0.003570
12428.977273,121726271.049225,-5376.575195,7429.808720,-0.002531
12442.129630,121727085.722534,-5798.185669,7429.858447,-0.002729
12451.171875,121725945.319397,-5919.335876,7429.788840,-0.002786
12457.770270,121725882.394623,-6511.231476,7429.785001,-0.003065
12500.000000,121721245.322876,-7481.247894,7429.501972,-0.003522
12541.118421,121724198.737701,-9039.872406,7429.682246,-0.004255
12547.348485,121723765.272461,-8685.203674,7429.655787,-0.004088
12555.803571,121724709.290527,-8940.675201,7429.713408,-0.004208
12567.934783,121723579.401703,-9254.899231,7429.644444,-0.004356
12586.805556,121724431.497375,-9011.308380,7429.696453,-0.004242
12600.806452,121724487.082520,-9667.446259,7429.699848,-0.004551
12620.192308,121725770.047455,-10480.505554,7429.778161,-0.004933
12637.867647,121724079.934357,-9996.868439,7429.674999,-0.004706
12648.809524,121725946.014313,-9796.312927,7429.788898,-0.004611
12661.637931,121725563.519806,-10172.404358,7429.765553,-0.004788
12668.918919,121723992.728302,-10310.114655,7429.669678,-0.004853
12695.312500,121724344.323944,-10337.655487,7429.691138,-0.004866
12723.214286,121723615.508545,-10398.209045,7429.646654,-0.004895
12731.481481,121724193.044678,-9993.467987,7429.681903,-0.004704
12746.710526,121725269.937927,-10238.451752,7429.747634,-0.004819
12760.416667,121723290.838226,-9742.767090,7429.626834,-0.004586
12784.090909,121725149.962646,-9978.828888,7429.740310,-0.004697
12803.819444,121723699.184631,-9347.947266,7429.651756,-0.004400
12812.500000,121725885.936859,-8259.867004,7429.785224,-0.003888
12820.512821,121725204.066650,-8383.278381,7429.743605,-0.003946
12834.821429,121723900.094788,-8238.738647,7429.664014,-0.003878
12852.822581,121725288.852600,-7527.452606,7429.748777,-0.003543
12867.647059,121726708.345398,-7579.008881,7429.835419,-0.003567
12880.067568,121727150.097107,-6287.124634,7429.862377,-0.002959
12890.625000,121725183.348663,-6451.267944,7429.742333,-0.003037
12907.608696,121727087.138611,-5647.006378,7429.858533,-0.002658
12920.673077,121725225.246552,-5796.964905,7429.744889,-0.002729
12931.034483,121725825.457703,-5278.052734,7429.781522,-0.002484
12939.453125,121726700.670502,-5325.871460,7429.834943,-0.002507
12952.302632,121726426.237366,-4281.055450,7429.818190,-0.002015
13020.833333,121725984.244080,-2356.536652,7429.791209,-0.001109
13091.216216,121726853.197357,2985.597473,7429.844248,0.001405
13097.426471,121727360.878235,659.270660,7429.875233,0.000310
13113.839286,121727492.978027,863.960632,7429.883296,0.000407
13125.000000,121729347.679291,958.361023,7429.996502,0.000451
13139.204545,121726191.734406,1638.636932,7429.803873,0.000771
13157.894737,121727809.849060,2048.386475,7429.902638,0.000964
13169.642857,121729199.260681,1783.536041,7429.987443,0.000840
13183.593750,121727581.152954,2360.005341,7429.888679,0.001111
13200.431034,121726989.517700,2942.047028,7429.852568,0.001385
13221.153846,121727363.490417,3112.052979,7429.875395,0.001465
13237.847222,121726543.405121,3794.961487,7429.825340,0.001786
13247.282609,121727402.944641,3154.082916,7429.877803,0.001485
13257.575758,121726846.920959,2653.778351,7429.843864,0.001249
13281.250000,121725465.973236,2920.430298,7429.759576,0.001375
13302.364865,121727609.175354,2564.609894,7429.890390,0.001207
13310.185185,121727188.004242,2267.231140,7429.864682,0.001067
13327.205882,121728140.831940,3204.189392,7429.922842,0.001508
13346.354167,121728902.514130,2453.981903,7429.969331,0.001155
13356.854839,121728033.946625,2458.031006,7429.916317,0.001157
13363.486842,121726661.961029,2300.142761,7429.832574,0.001083
13392.857143,121722133.013641,1427.746307,7429.556140,0.000672
13427.734375,121727629.253296,57.135193,7429.891614,0.000027
13437.500000,121729295.426361,166.474030,7429.993312,0.000078
13454.861111,121727993.852173,-872.838501,7429.913868,-0.000411
13469.827586,121728796.685455,-401.221069,7429.962870,-0.000189
13494.318182,121724748.741028,-1665.203461,7429.715797,-0.000784
13513.513514,121728267.651337,-3635.298004,7429.930583,-0.001711
13521.634615,121726568.212036,-3804.244110,7429.826855,-0.001791
13541.666667,121726517.191406,-4115.067902,7429.823741,-0.001937
13556.985294,121726668.388367,-4357.425903,7429.832970,-0.002051
13569.078947,121726310.966064,-6241.674957,7429.811159,-0.002938
13586.956522,121727019.584625,-6135.350067,7429.854411,-0.002888
13599.537037,121728226.744568,-6456.385284,7429.928093,-0.003039
13608.870968,121726627.516357,-7294.465088,7429.830484,-0.003434
13616.071429,121727601.509308,-8627.447052,7429.889939,-0.004061
13671.875000,121726781.946655,-10185.546509,7429.839923,-0.004794
13724.662162,121727329.324188,-12012.972198,7429.873343,-0.005655
13731.060606,121727459.195648,-12058.241058,7429.881270,-0.005676
13739.224138,121726548.691772,-11973.849609,7429.825695,-0.005636
13750.000000,121725563.380371,-12158.805328,7429.765556,-0.005723
13764.880952,121725070.938507,-12743.099457,7429.735503,-0.005998
13786.764706,121722511.392639,-14013.273407,7429.579284,-0.006596
13802.083333,121725197.781799,-13778.592865,7429.743252,-0.006486
