Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi

1000.000000,121669036.072998,-56054.237549,0.928290,-0.017922
2000.000000,121650593.377930,-440218.879883,0.928155,-0.190392
3000.000000,121612794.111816,-1171365.087402,0.927903,-0.526441
4000.000000,121546643.751953,-2052170.471680,0.927488,-0.933406
5000.000000,121477950.786865,-3000109.581787,0.927114,-1.372397
6000.905797,121391367.334473,-3989805.536865,0.926671,-1.831680
6998.697917,121278794.150635,-5001383.094727,0.926098,-2.302204
7998.511905,121146954.852051,-6029507.984863,0.925450,-2.781553
9001.358696,121009287.800293,-7067072.054932,0.924829,-3.266158
10000.000000,120829406.036133,-8101629.023682,0.923953,-3.751309
10995.370370,120652698.024902,-9129261.865234,0.923167,-4.233972
11997.767857,120456879.301270,-10168706.246826,0.922310,-4.723776
13020.833333,120239116.553467,-11219691.871338,0.921365,-5.220895
13997.395833,120001910.130127,-12229548.749756,0.920312,-5.700503
15000.000000,119743834.073975,-13246069.807129,0.919174,-6.185435
15997.023810,119478853.662354,-14261950.207275,0.918051,-6.671669
17003.676471,119191140.918945,-15269976.028564,0.916816,-7.156694
18002.717391,118886453.826416,-16287107.872559,0.915532,-7.648450
19021.739130,118537990.911621,-17371525.042969,0.914061,-8.176440
20000.000000,118238271.031494,-18278383.714844,0.912830,-8.618511
20996.093750,117889233.987305,-19242507.301270,0.911354,-9.092626
22017.045455,117513981.514648,-20219135.633789,0.909762,-9.576394
23003.472222,117142045.275146,-21161400.210205,0.908216,-10.045224
23995.535714,116756912.081543,-22105611.283203,0.906637,-10.517782
25000.000000,116334694.191406,-23077779.199707,0.904886,-11.008773
26041.666667,115895446.701172,-24027710.782227,0.903043,-11.492699
26988.636364,115484585.270508,-24893627.976318,0.901342,-11.935926
27994.791667,115037483.282471,-25796660.623779,0.899490,-12.402231
29017.857143,114567302.125732,-26715885.761230,0.897557,-12.880707
30048.076923,114070129.946533,-27641674.264160,0.895500,-13.367552
30761.718750,113711445.408936,-28315969.517822,0.894070,-13.720781
32031.250000,113098259.321289,-29369967.788086,0.891518,-14.286551
32986.111111,112617243.445557,-30167220.056641,0.889521,-14.716675
34040.178571,112038423.795166,-31097564.144287,0.887128,-15.224855
34855.769231,111642166.854004,-31714457.801270,0.885490,-15.562124
36057.692308,110996099.329834,-32688800.137695,0.882820,-16.105154
36931.818182,110512002.238525,-33388475.249756,0.880807,-16.497674
37946.428571,109921193.845703,-34201950.446045,0.878317,-16.961924
39062.500000,109315619.583008,-35050314.186768,0.875861,-17.447604
40039.062500,108748675.323730,-35802689.531738,0.873521,-17.884318
41015.625000,108159844.048584,-36584951.214111,0.871149,-18.340899
41992.187500,107600904.021484,-37274585.776611,0.868818,-18.751273
42968.750000,107014885.887207,-37967310.340576,0.866348,-19.169985
44034.090909,106144334.716309,-38956068.021240,0.862661,-19.781200
44921.875000,105818932.932617,-39324851.109863,0.861307,-20.005426
46006.944444,105159364.022461,-40062076.435791,0.858578,-20.465774
46875.000000,104607678.952637,-40635133.097412,0.856219,-20.830874
47991.071429,103903143.673828,-41368921.119385,0.853266,-21.303644
49107.142857,103194651.140381,-42079503.990479,0.850278,-21.769402
50000.000000,102605840.139160,-42627804.055664,0.847716,-22.137441
51215.277778,101840137.403320,-43379529.665527,0.844555,-22.640053
52083.333333,101254450.651367,-43894529.975586,0.842001,-22.996778
52951.388889,100636854.489502,-44459268.677002,0.839412,-23.386153
53819.444444,99835338.169678,-45146720.947266,0.835969,-23.876026
54687.500000,99537433.359375,-45416804.281006,0.834752,-24.060528
55989.583333,98701910.454346,-46113201.711182,0.831192,-24.567589
56919.642857,98063767.087158,-46605533.952637,0.828388,-24.937061
58035.714286,97320436.950684,-47183543.827637,0.825184,-25.374341
59151.785714,96564880.027344,-47743905.645264,0.821887,-25.809244
59895.833333,96049129.543701,-48132422.791260,0.819685,-26.108449
60937.500000,95354969.898926,-48681476.381592,0.816850,-26.529345
61523.437500,94932878.033447,-49037193.089111,0.815225,-26.793637
63476.562500,93644172.881348,-49861294.752930,0.809438,-27.499710
64062.500000,93241588.581299,-50109379.223633,0.807622,-27.712642
65104.166667,92472288.765869,-50515303.657227,0.803937,-28.096285
65848.214286,92026556.565186,-50858526.090820,0.802217,-28.368339
66964.285714,91259526.353760,-51308149.625000,0.798776,-28.778557
68080.357143,90422977.055908,-51803416.994629,0.795090,-29.232891
69010.416667,89869456.478760,-52122485.256348,0.792647,-29.528629
70312.500000,88982510.254395,-52599274.260010,0.788646,-29.995596
71428.571429,88178561.708496,-53025242.004639,0.785041,-30.419046
71875.000000,87915193.462402,-53148640.846924,0.783807,-30.544913
72916.666667,87083877.983887,-53500910.526611,0.779789,-30.946661
74218.750000,86350961.447998,-53951103.232666,0.776845,-31.369819
75000.000000,85797711.428711,-54184193.405273,0.774216,-31.638870
76171.875000,85038042.941162,-54559867.614990,0.770866,-32.040733
76822.916667,84606048.292480,-54753491.959229,0.768896,-32.257493
78125.000000,83739462.271484,-55130862.149414,0.764933,-32.698877
79427.083333,82772866.298584,-55528525.733398,0.760470,-33.187196
80078.125000,82436291.304688,-55658056.502686,0.758891,-33.348804
81250.000000,81607512.756836,-55930116.364502,0.754831,-33.739394
82031.250000,81150062.056152,-56156630.863525,0.752936,-33.989224
82812.500000,80579369.439453,-56304501.406982,0.750006,-34.241270
83984.375000,79865628.395264,-56612773.103271,0.746906,-34.619202
84635.416667,79448255.022705,-56760387.604492,0.744965,-34.822979
85937.500000,78609129.403809,-57038185.278320,0.741007,-35.236355
87500.000000,77296686.461182,-57393942.439209,0.734541,-35.857531
87890.625000,77363487.808350,-57433791.563477,0.735132,-35.844754
89062.500000,76555445.153809,-57614848.802246,0.731021,-36.211429
89843.750000,76118917.863037,-57789865.745605,0.729169,-36.444152
91145.833333,75201812.697998,-57952499.408936,0.724365,-36.848326
92187.500000,74582559.649902,-58128877.494141,0.721455,-37.153143
93750.000000,73682930.052490,-58415556.025879,0.717410,-37.619984
93750.000000,73680519.095459,-58418927.621826,0.717412,-37.613232
95312.500000,72544265.844482,-58609071.869141,0.711550,-38.130188
95703.125000,72476334.449463,-58677991.030273,0.711478,-38.180887
96875.000000,71228609.970459,-58877441.962646,0.705073,-38.755148
97656.250000,71285595.372314,-58918434.987549,0.705607,-38.744667
98958.333333,70451171.187988,-59023584.768799,0.701227,-39.117601
100000.000000,69763724.709717,-59143386.623535,0.697805,-39.443838
101562.500000,68964708.010498,-59331406.401855,0.694101,-39.850219
101562.500000,68958803.341553,-59334249.353027,0.694081,-39.845801
103515.625000,67799229.561035,-59486864.824219,0.688166,-40.391385
104166.666667,67403532.262207,-59506829.852783,0.686001,-40.558733
105468.750000,66687385.673096,-59630400.088135,0.682542,-40.912946
105468.750000,66679335.833740,-59626943.568848,0.682479,-40.905870
106770.833333,65923817.599854,-59675536.206055,0.678442,-41.246201
107421.875000,65581245.100830,-59749857.714355,0.676888,-41.421072
109375.000000,64389452.429688,-59855560.039307,0.670743,-41.987328
109375.000000,64388595.920654,-59856304.157471,0.670742,-41.978521
111328.125000,63413252.228271,-59922480.020996,0.665658,-42.438369
111979.166667,63027756.272705,-59906867.452148,0.663441,-42.597107
113281.250000,62361905.168701,-59988730.496338,0.660201,-42.931758
114583.333333,61633651.936035,-59968581.154297,0.656101,-43.249936
115234.375000,61334586.548584,-60023329.327881,0.654759,-43.406685
