Barrido en f -> f_inicial:1000, f_final:1000000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi

1000.000000,121671994.184570,-19857.679688,0.928312,-0.000876
2000.000000,121644010.021484,-14254.568359,0.928098,0.010236
3000.000000,121648393.350586,-56368.027344,0.928132,-0.001124
4000.000000,121643042.343750,-162227.633789,0.928092,-0.042513
5000.000000,121582336.469727,-367136.992188,0.927632,-0.130642
6000.000000,121527723.834961,-688180.305664,0.927226,-0.273602
7000.000000,121476133.831055,-1143459.062500,0.926859,-0.479994
8000.000000,121396917.974609,-1671401.544922,0.926301,-0.721023
9000.000000,121309523.566406,-2280838.405273,0.925710,-1.000890
10000.000000,121198611.320312,-2971619.115234,0.924978,-1.319819
11000.000000,121073994.757812,-3716445.980469,0.924185,-1.665000
12000.000000,120937377.615234,-4493725.976562,0.923344,-2.026340
13000.000000,120769598.576172,-5291008.370117,0.922311,-2.398461
14000.000000,120603948.858398,-6179143.471680,0.921370,-2.814406
15000.000000,120421223.802734,-6991743.590820,0.920316,-3.195853
16000.000000,120194123.520508,-7871709.408203,0.919001,-3.611549
17003.676471,119993373.950195,-8733916.741211,0.917927,-4.019043
18002.717391,119766541.351562,-9620230.650391,0.916717,-4.439972
19003.378378,119503611.532227,-10518919.913086,0.915293,-4.869409
20000.000000,119238146.336914,-11413609.875977,0.913901,-5.298413
20996.093750,118957919.886719,-12308527.727539,0.912450,-5.729506
22007.042254,118662285.322266,-13223707.078125,0.910953,-6.172522
23003.472222,118341265.962891,-14113753.531250,0.909298,-6.606377
24003.623188,118005054.388672,-15032883.113281,0.907611,-7.056667
25000.000000,117666866.296875,-15920759.681641,0.905935,-7.493880
25974.025974,117318687.818359,-16815358.050781,0.904245,-7.936520
26988.636364,116944079.495117,-17689429.310547,0.902390,-8.372966
27994.791667,116572133.751953,-18556279.097656,0.900600,-8.807502
28985.507246,116147888.475586,-19467380.436523,0.898526,-9.269219
30000.000000,115752854.132812,-20309500.775391,0.896642,-9.697573
30776.515152,115423436.689453,-21000841.528320,0.895096,-10.049444
31994.047619,114895887.944336,-22017886.904297,0.892564,-10.577375
32986.111111,114453096.660156,-22874755.208984,0.890504,-11.022888
34007.352941,113987977.682617,-23701278.996094,0.888287,-11.458155
35000.000000,113508292.221680,-24586924.343750,0.886110,-11.925602
36005.434783,113038353.643555,-25340339.609375,0.883846,-12.330496
37006.578947,112541951.636719,-26154040.663086,0.881535,-12.769622
38006.756757,112046081.405273,-26968074.295898,0.879283,-13.211262
39062.500000,111503440.589844,-27765282.885742,0.876708,-13.652624
40000.000000,111029991.350586,-28493312.350586,0.874567,-14.054468
41015.625000,110490119.542969,-29303244.448242,0.872142,-14.506280
41992.187500,109962134.249023,-29990856.203125,0.869614,-14.899991
42968.750000,109426274.938477,-30701755.626953,0.867120,-15.308472
43981.481481,108867298.431641,-31486720.167969,0.864659,-15.758408
45000.000000,108299806.571289,-32205608.528320,0.862048,-16.180180
46006.944444,107726385.311523,-32886780.319336,0.859359,-16.586968
46875.000000,107227322.877930,-33472752.882812,0.857039,-16.938569
47991.071429,106579796.263672,-34258346.270508,0.854140,-17.412769
48986.486486,105981479.014648,-34949715.593750,0.851432,-17.836314
50000.000000,105392284.360352,-35590309.868164,0.848715,-18.236287
50986.842105,104801621.252930,-36196782.495117,0.845946,-18.622094
52083.333333,104135836.998047,-36885855.208984,0.842887,-19.064190
52989.130435,103587589.191406,-37455159.589844,0.840412,-19.430149
53977.272727,102974173.374023,-38092488.099609,0.837687,-19.843441
55000.000000,102332984.873047,-38704405.196289,0.834741,-20.251847
55989.583333,101730102.888672,-39234031.110352,0.831886,-20.615673
56985.294118,101096647.643555,-39788431.255859,0.828918,-21.000218
58035.714286,100446480.484375,-40365893.017578,0.825937,-21.402331
59027.777778,99817748.129883,-40911064.618164,0.823056,-21.786916
60000.000000,99202840.896484,-41451887.187500,0.820299,-22.169434
61011.904762,98548418.301758,-42022746.501953,0.817393,-22.577836
61553.030303,98208390.133789,-42305090.523438,0.815857,-22.779947
63476.562500,96983152.333984,-43194702.900391,0.810018,-23.473711
63988.095238,96657837.818359,-43428766.917969,0.808481,-23.652875
65000.000000,95997613.171875,-43904162.785156,0.805391,-24.026303
65972.222222,95378659.091797,-44343220.867188,0.802505,-24.375511
66964.285714,94749508.928711,-44793877.375977,0.799618,-24.735729
68014.705882,94057392.040039,-45285242.013672,0.796467,-25.133467
69010.416667,93408147.875000,-45743591.288086,0.793538,-25.507429
70000.000000,92549757.562500,-46317529.514648,0.789612,-25.993498
71022.727273,92075918.647461,-46574229.488281,0.787263,-26.230164
72010.869565,91474933.150391,-46924921.506836,0.784391,-26.546940
72916.666667,90850642.921875,-47271776.078125,0.781374,-26.870656
74013.157895,90176098.710938,-47653574.239258,0.778169,-27.227241
75000.000000,89530277.514648,-48000810.431641,0.775065,-27.562499
76086.956522,88609237.178711,-48505960.833984,0.770722,-28.053569
76923.076923,88294743.146484,-48673328.623047,0.769233,-28.214295
78125.000000,87515815.783203,-49071012.902344,0.765514,-28.619172
79044.117647,86929727.507812,-49379398.083984,0.762776,-28.929446
80000.000000,86275458.527344,-49735187.773438,0.759792,-29.285006
80965.909091,85695797.506836,-50047840.115234,0.757163,-29.599960
82031.250000,85003320.785156,-50377691.832031,0.753886,-29.958833
82880.434783,84391879.659180,-50628447.667969,0.750859,-30.257808
83984.375000,83787030.218750,-50853203.033203,0.747794,-30.543140
85069.444444,83109123.138672,-51110415.520508,0.744403,-30.870297
85937.500000,82575005.138672,-51317311.398438,0.741767,-31.131304
86956.521739,81865518.639648,-51586805.431641,0.738269,-31.479668
88068.181818,81241230.658203,-51808230.899414,0.735151,-31.780861
88942.307692,80686320.737305,-52015780.051758,0.732441,-32.055086
90073.529412,79997682.491211,-52282543.173828,0.729142,-32.404734
90909.090909,79479143.666992,-52445066.993164,0.726516,-32.648611
92013.888889,78802603.594727,-52685549.679688,0.723231,-32.986284
92329.545455,78615412.607422,-52744550.989258,0.722295,-33.070998
93750.000000,77757998.541992,-53028851.968750,0.718092,-33.496266
95238.095238,76809378.102539,-53346916.201172,0.713506,-33.976443
95982.142857,76413090.726562,-53478298.401367,0.711599,-34.173141
97039.473684,75762940.114258,-53706032.252930,0.708544,-34.509610
97916.666667,75243349.220703,-53866293.933594,0.706025,-34.769057
98958.333333,74621100.438477,-54030763.100586,0.702905,-35.068501
100000.000000,74031806.068359,-54138474.094727,0.699753,-35.331045
100961.538462,73488302.104492,-54232049.527344,0.696834,-35.570328
101973.684211,72436045.797852,-54425350.505859,0.691275,-36.055622
102941.176471,72080567.969727,-54503983.391602,0.689471,-36.222515
104166.666667,71649070.666992,-54587792.297852,0.687235,-36.422066
104910.714286,71229984.922852,-54661315.949219,0.685036,-36.612776
105902.777778,70559557.019531,-54783045.067383,0.681554,-36.927652
106907.894737,70106430.142578,-54873016.011719,0.679249,-37.144715
107954.545455,69527842.754883,-54950951.878906,0.676147,-37.405770
109375.000000,68706068.419922,-55088789.965820,0.671897,-37.799862
110294.117647,68245729.762695,-55158022.855469,0.669492,-38.013623
111111.111111,67811250.948242,-55227056.087891,0.667250,-38.219625
111979.166667,67348784.597656,-55293545.124023,0.664839,-38.437309
112980.769231,66820020.620117,-55356441.029297,0.662032,-38.682573
113970.588235,65805541.855469,-55466051.581055,0.656629,-39.161111
115234.375000,65633050.320312,-55490124.893555,0.655742,-39.238798
116071.428571,65214425.206055,-55533082.325195,0.653519,-39.432687
117187.500000,64638060.596680,-55598375.831055,0.650502,-39.710019
118055.555556,64151600.716797,-55666954.779297,0.648035,-39.949941
119140.625000,63536677.541016,-55736621.131836,0.644849,-40.249510
120192.307692,63096802.985352,-55781314.752930,0.642556,-40.462140
121093.750000,62636493.942383,-55863175.516602,0.640345,-40.702514
121875.000000,62226367.677734,-55905140.563477,0.638227,-40.903105
123046.875000,61568658.361328,-55948014.970703,0.634723,-41.219850
123046.875000,61578893.949219,-55944273.066406,0.634761,-41.205115
125000.000000,60719712.202148,-55932164.502930,0.629862,-41.591670
126953.125000,59786386.160156,-55886584.551758,0.624406,-42.000470
126953.125000,59785386.469727,-55882035.944336,0.624376,-41.990113
128125.000000,59235343.517578,-55858062.584961,0.621192,-42.235644
128906.250000,58863363.343750,-55855136.075195,0.619115,-42.405591
129807.692308,58438591.308594,-55842696.431641,0.616702,-42.597563
131250.000000,57778418.370117,-55819923.748047,0.612950,-42.902072
131944.444444,57452324.046875,-55806956.317383,0.611094,-43.048299
