Datos provenientes de SR865 
F,X,Y,R,T,
+6.900000e+03,+5.641708e-01,-4.895056e-01,+7.469301e-01,-4.094670e+01,
+7.000000e+03,+5.571945e-01,-4.903547e-01,+7.422355e-01,-4.134914e+01,
+7.100000e+03,+5.501660e-01,-4.909763e-01,+7.373875e-01,-4.174619e+01,
+7.200000e+03,+5.433279e-01,-4.915924e-01,+7.327130e-01,-4.213818e+01,
+7.300000e+03,+5.366037e-01,-4.921365e-01,+7.281084e-01,-4.252493e+01,
+7.400000e+03,+5.299267e-01,-4.925503e-01,+7.234833e-01,-4.290650e+01,
+7.500000e+03,+5.232855e-01,-4.928298e-01,+7.188247e-01,-4.328320e+01,
+7.600000e+03,+5.167649e-01,-4.930584e-01,+7.142497e-01,-4.365517e+01,
+7.700000e+03,+5.103260e-01,-4.931984e-01,+7.097023e-01,-4.402220e+01,
+7.800000e+03,+5.039328e-01,-4.932196e-01,+7.051340e-01,-4.438445e+01,
+7.900000e+03,+4.976507e-01,-4.931896e-01,+7.006370e-01,-4.474203e+01,
+8.000000e+03,+4.914659e-01,-4.930988e-01,+6.961933e-01,-4.509502e+01,
+8.100000e+03,+4.853724e-01,-4.929427e-01,+6.917939e-01,-4.544335e+01,
+8.200000e+03,+4.792962e-01,-4.926503e-01,+6.873349e-01,-4.578716e+01,
+8.300000e+03,+4.733979e-01,-4.923920e-01,+6.830487e-01,-4.612668e+01,
+8.400000e+03,+4.675170e-01,-4.920000e-01,+6.787018e-01,-4.646164e+01,
+8.500000e+03,+4.617370e-01,-4.915684e-01,+6.744187e-01,-4.679235e+01,
+8.600000e+03,+4.559926e-01,-4.910317e-01,+6.701055e-01,-4.711893e+01,
+8.700000e+03,+4.504080e-01,-4.905221e-01,+6.659424e-01,-4.744117e+01,
+8.800000e+03,+4.448094e-01,-4.898549e-01,+6.616746e-01,-4.775919e+01,
+8.900000e+03,+4.393231e-01,-4.891748e-01,+6.574929e-01,-4.807330e+01,
+9.000000e+03,+4.339060e-01,-4.884361e-01,+6.533332e-01,-4.838346e+01,
+9.100000e+03,+4.285719e-01,-4.876541e-01,+6.492152e-01,-4.868956e+01,
+9.200000e+03,+4.233240e-01,-4.868368e-01,+6.451459e-01,-4.899174e+01,
+9.300000e+03,+4.181265e-01,-4.859460e-01,+6.410719e-01,-4.929004e+01,
+9.400000e+03,+4.130723e-01,-4.850976e-01,+6.371408e-01,-4.958480e+01,
+9.500000e+03,+4.080279e-01,-4.841327e-01,+6.331439e-01,-4.987575e+01,
+9.600000e+03,+4.030842e-01,-4.831621e-01,+6.292237e-01,-5.016302e+01,
+9.700000e+03,+3.982557e-01,-4.822111e-01,+6.254080e-01,-5.044687e+01,
+9.800000e+03,+3.934268e-01,-4.811373e-01,+6.215125e-01,-5.072707e+01,
+9.900000e+03,+3.887053e-01,-4.800772e-01,+6.177102e-01,-5.100386e+01,
+1.000000e+04,+3.840528e-01,-4.789857e-01,+6.139413e-01,-5.127721e+01,
+1.010000e+04,+3.793923e-01,-4.777679e-01,+6.100826e-01,-5.154715e+01,
+1.020000e+04,+3.749073e-01,-4.766557e-01,+6.064290e-01,-5.181364e+01,
+1.030000e+04,+3.704520e-01,-4.754656e-01,+6.027455e-01,-5.207659e+01,
+1.040000e+04,+3.660699e-01,-4.742613e-01,+5.991085e-01,-5.233639e+01,
+1.050000e+04,+3.617046e-01,-4.729706e-01,+5.954254e-01,-5.259302e+01,
+1.060000e+04,+3.574462e-01,-4.717140e-01,+5.918462e-01,-5.284659e+01,
+1.070000e+04,+3.532344e-01,-4.704163e-01,+5.882737e-01,-5.309720e+01,
+1.080000e+04,+3.491068e-01,-4.691264e-01,+5.847693e-01,-5.334472e+01,
+1.090000e+04,+3.450198e-01,-4.677877e-01,+5.812607e-01,-5.358913e+01,
+1.100000e+04,+3.409784e-01,-4.664093e-01,+5.777576e-01,-5.383054e+01,
+1.110000e+04,+3.370438e-01,-4.650807e-01,+5.743679e-01,-5.406917e+01,
+1.120000e+04,+3.331052e-01,-4.636486e-01,+5.709020e-01,-5.430489e+01,
+1.130000e+04,+3.292658e-01,-4.622589e-01,+5.675379e-01,-5.453783e+01,
+1.140000e+04,+3.255038e-01,-4.608830e-01,+5.642392e-01,-5.476792e+01,
+1.150000e+04,+3.217784e-01,-4.594666e-01,+5.609375e-01,-5.499528e+01,
+1.160000e+04,+3.180940e-01,-4.580204e-01,+5.576437e-01,-5.522011e+01,
+1.170000e+04,+3.144906e-01,-4.565981e-01,+5.544242e-01,-5.544214e+01,
+1.180000e+04,+3.109097e-01,-4.551209e-01,+5.511805e-01,-5.566159e+01,
+1.190000e+04,+3.073828e-01,-4.536329e-01,+5.479662e-01,-5.587833e+01,
+1.200000e+04,+3.039273e-01,-4.521648e-01,+5.448163e-01,-5.609256e+01,
+1.210000e+04,+3.005119e-01,-4.506731e-01,+5.416767e-01,-5.630437e+01,
+1.220000e+04,+2.971744e-01,-4.492160e-01,+5.386164e-01,-5.651376e+01,
+1.230000e+04,+2.938628e-01,-4.477134e-01,+5.355395e-01,-5.672055e+01,
+1.240000e+04,+2.905903e-01,-4.461898e-01,+5.324735e-01,-5.692499e+01,
+1.250000e+04,+2.873941e-01,-4.447035e-01,+5.294871e-01,-5.712703e+01,
+1.260000e+04,+2.842076e-01,-4.431557e-01,+5.264608e-01,-5.732686e+01,
+1.270000e+04,+2.811158e-01,-4.416766e-01,+5.235497e-01,-5.752429e+01,
+1.280000e+04,+2.780321e-01,-4.401360e-01,+5.205973e-01,-5.771956e+01,
+1.290000e+04,+2.750168e-01,-4.386301e-01,+5.177168e-01,-5.791269e+01,
+1.300000e+04,+2.720089e-01,-4.370590e-01,+5.147907e-01,-5.810344e+01,
+1.310000e+04,+2.690864e-01,-4.355579e-01,+5.119748e-01,-5.829235e+01,
+1.320000e+04,+2.661916e-01,-4.340266e-01,+5.091532e-01,-5.847891e+01,
+1.330000e+04,+2.633390e-01,-4.324945e-01,+5.063584e-01,-5.866343e+01,
+1.340000e+04,+2.605251e-01,-4.309613e-01,+5.035881e-01,-5.884616e+01,
+1.350000e+04,+2.577599e-01,-4.294302e-01,+5.008497e-01,-5.902625e+01,
+1.360000e+04,+2.550058e-01,-4.278698e-01,+4.980969e-01,-5.920551e+01,
+1.370000e+04,+2.523166e-01,-4.263431e-01,+4.954110e-01,-5.938228e+01,
+1.380000e+04,+2.496587e-01,-4.248041e-01,+4.927352e-01,-5.955711e+01,
+1.390000e+04,+2.470247e-01,-4.232432e-01,+4.900571e-01,-5.973014e+01,
+1.400000e+04,+2.443950e-01,-4.216249e-01,+4.873361e-01,-5.990125e+01,
+1.410000e+04,+2.418824e-01,-4.201444e-01,+4.847973e-01,-6.007042e+01,
+1.420000e+04,+2.393625e-01,-4.185894e-01,+4.821944e-01,-6.023772e+01,
+1.430000e+04,+2.368953e-01,-4.170685e-01,+4.796515e-01,-6.040338e+01,
+1.440000e+04,+2.344680e-01,-4.155587e-01,+4.771418e-01,-6.056728e+01,
+1.450000e+04,+2.320672e-01,-4.140401e-01,+4.746413e-01,-6.072962e+01,
+1.460000e+04,+2.297011e-01,-4.125247e-01,+4.721644e-01,-6.089016e+01,
+1.470000e+04,+2.273458e-01,-4.109710e-01,+4.696629e-01,-6.104899e+01,
+1.480000e+04,+2.250359e-01,-4.094445e-01,+4.672109e-01,-6.120624e+01,
+1.490000e+04,+2.227700e-01,-4.079397e-01,+4.648024e-01,-6.136168e+01,
+1.500000e+04,+2.205373e-01,-4.064421e-01,+4.624196e-01,-6.151554e+01,
+1.510000e+04,+2.183229e-01,-4.049221e-01,+4.600291e-01,-6.166766e+01,
+1.520000e+04,+2.161479e-01,-4.034197e-01,+4.576760e-01,-6.181807e+01,
+1.530000e+04,+2.140051e-01,-4.019257e-01,+4.553487e-01,-6.196696e+01,
+1.540000e+04,+2.118979e-01,-4.004474e-01,+4.530550e-01,-6.211432e+01,
+1.550000e+04,+2.098232e-01,-3.989803e-01,+4.507894e-01,-6.226018e+01,
+1.560000e+04,+2.077552e-01,-3.974754e-01,+4.484962e-01,-6.240452e+01,
+1.570000e+04,+2.057343e-01,-3.960107e-01,+4.462635e-01,-6.254736e+01,
+1.580000e+04,+2.037322e-01,-3.945351e-01,+4.440323e-01,-6.268882e+01,
+1.590000e+04,+2.017590e-01,-3.930668e-01,+4.418238e-01,-6.282882e+01,
+1.600000e+04,+1.998149e-01,-3.916103e-01,+4.396415e-01,-6.296753e+01,
+1.610000e+04,+1.978989e-01,-3.901615e-01,+4.374814e-01,-6.310482e+01,
+1.620000e+04,+1.960099e-01,-3.887228e-01,+4.353450e-01,-6.324090e+01,
+1.630000e+04,+1.941361e-01,-3.872690e-01,+4.332044e-01,-6.337561e+01,
+1.640000e+04,+1.922799e-01,-3.858067e-01,+4.310666e-01,-6.350907e+01,
+1.650000e+04,+1.904628e-01,-3.843787e-01,+4.289791e-01,-6.364121e+01,
+1.660000e+04,+1.886598e-01,-3.829346e-01,+4.268857e-01,-6.377198e+01,
+1.670000e+04,+1.868942e-01,-3.815240e-01,+4.248411e-01,-6.390151e+01,
+1.680000e+04,+1.851512e-01,-3.801154e-01,+4.228104e-01,-6.402964e+01,
+1.690000e+04,+1.834237e-01,-3.786966e-01,+4.207794e-01,-6.415652e+01,
+1.700000e+04,+1.817272e-01,-3.773016e-01,+4.187854e-01,-6.428221e+01,
+1.710000e+04,+1.800352e-01,-3.758748e-01,+4.167668e-01,-6.440667e+01,
+1.720000e+04,+1.783932e-01,-3.745160e-01,+4.148330e-01,-6.453014e+01,
+1.730000e+04,+1.767586e-01,-3.731290e-01,+4.128787e-01,-6.465215e+01,
+1.740000e+04,+1.751442e-01,-3.717493e-01,+4.109416e-01,-6.477322e+01,
+1.750000e+04,+1.735453e-01,-3.703644e-01,+4.090082e-01,-6.489314e+01,
+1.760000e+04,+1.719774e-01,-3.690058e-01,+4.071136e-01,-6.501183e+01,
+1.770000e+04,+1.704316e-01,-3.676571e-01,+4.052390e-01,-6.512939e+01,
+1.780000e+04,+1.689044e-01,-3.663128e-01,+4.033780e-01,-6.524588e+01,
+1.790000e+04,+1.673917e-01,-3.649634e-01,+4.015200e-01,-6.536128e+01,
+1.800000e+04,+1.659041e-01,-3.636348e-01,+3.996929e-01,-6.547571e+01,
+1.810000e+04,+1.644292e-01,-3.622974e-01,+3.978648e-01,-6.558900e+01,
+1.820000e+04,+1.629742e-01,-3.609712e-01,+3.960566e-01,-6.570139e+01,
+1.830000e+04,+1.615364e-01,-3.596469e-01,+3.942586e-01,-6.581263e+01,
+1.840000e+04,+1.601166e-01,-3.583302e-01,+3.924766e-01,-6.592297e+01,
+1.850000e+04,+1.587193e-01,-3.570319e-01,+3.907218e-01,-6.603236e+01,
+1.860000e+04,+1.573298e-01,-3.557152e-01,+3.889550e-01,-6.614060e+01,
+1.870000e+04,+1.559587e-01,-3.544099e-01,+3.872074e-01,-6.624802e+01,
+1.880000e+04,+1.546229e-01,-3.531512e-01,+3.855179e-01,-6.635438e+01,
+1.890000e+04,+1.532739e-01,-3.518285e-01,+3.837658e-01,-6.645968e+01,
+1.900000e+04,+1.519726e-01,-3.505858e-01,+3.821074e-01,-6.656414e+01,
+1.910000e+04,+1.506636e-01,-3.492920e-01,+3.804004e-01,-6.666753e+01,
+1.920000e+04,+1.493830e-01,-3.480341e-01,+3.787387e-01,-6.677004e+01,
+1.930000e+04,+1.481346e-01,-3.468226e-01,+3.771336e-01,-6.687173e+01,
+1.940000e+04,+1.468778e-01,-3.455626e-01,+3.754818e-01,-6.697257e+01,
+1.950000e+04,+1.456179e-01,-3.442658e-01,+3.737960e-01,-6.707254e+01,
+1.960000e+04,+1.444131e-01,-3.430702e-01,+3.722261e-01,-6.717167e+01,
+1.970000e+04,+1.432105e-01,-3.418518e-01,+3.706372e-01,-6.726993e+01,
+1.980000e+04,+1.420140e-01,-3.406181e-01,+3.690374e-01,-6.736726e+01,
+1.990000e+04,+1.408451e-01,-3.394253e-01,+3.674872e-01,-6.746391e+01,
+2.000000e+04,+1.396652e-01,-3.381754e-01,+3.658811e-01,-6.755956e+01,
+2.010000e+04,+1.385317e-01,-3.370112e-01,+3.643728e-01,-6.765441e+01,
+2.020000e+04,+1.373840e-01,-3.357876e-01,+3.628053e-01,-6.774858e+01,
+2.030000e+04,+1.362540e-01,-3.345788e-01,+3.612590e-01,-6.784185e+01,
+2.040000e+04,+1.351492e-01,-3.334063e-01,+3.597569e-01,-6.793439e+01,
+2.050000e+04,+1.340529e-01,-3.322287e-01,+3.582542e-01,-6.802612e+01,
+2.060000e+04,+1.329688e-01,-3.310569e-01,+3.567623e-01,-6.811716e+01,
+2.070000e+04,+1.319054e-01,-3.299097e-01,+3.553018e-01,-6.820734e+01,
+2.080000e+04,+1.308440e-01,-3.287448e-01,+3.538266e-01,-6.829690e+01,
+2.090000e+04,+1.297988e-01,-3.275943e-01,+3.523716e-01,-6.838563e+01,
+2.100000e+04,+1.287661e-01,-3.264489e-01,+3.509268e-01,-6.847350e+01,
+2.110000e+04,+1.277460e-01,-3.253114e-01,+3.494947e-01,-6.856063e+01,
+2.120000e+04,+1.267460e-01,-3.242037e-01,+3.480986e-01,-6.864720e+01,
